,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers
0,GAPDH,ipsc,1.0577743633400123,1.0,0.13329505928402507,0.06664752964201254,False
1,GAPDH,ipsc,1.1543660392637274,1.0,0.13329505928402507,0.06664752964201254,False
2,GAPDH,ipsc,0.9365572085587036,1.0,0.13329505928402507,0.06664752964201254,False
3,GAPDH,ipsc,0.851302388837557,1.0,0.13329505928402507,0.06664752964201254,False
4,GAPDH,4w,1.0965417867435159,1.0,0.07414949944862027,0.03707474972431014,False
5,GAPDH,4w,1.0175699544482661,1.0,0.07414949944862027,0.03707474972431014,False
6,GAPDH,4w,0.9562610393232315,1.0,0.07414949944862027,0.03707474972431014,False
7,GAPDH,4w,0.9296272194849865,1.0,0.07414949944862027,0.03707474972431014,False
8,P2X3,ipsc,0.05174257446300468,0.26960331385027464,0.4447484420465484,0.2223742210232742,False
9,P2X3,ipsc,0.05668428101284221,0.26960331385027464,0.4447484420465484,0.2223742210232742,False
10,P2X3,ipsc,0.033429191366547976,0.26960331385027464,0.4447484420465484,0.2223742210232742,False
11,P2X3,ipsc,0.9365572085587036,0.26960331385027464,0.4447484420465484,0.2223742210232742,False
12,P2X3,4w,0.07608998791484614,0.08413126336339129,0.008045707420585803,0.004022853710292902,False
13,P2X3,4w,0.09361346100213816,0.08413126336339129,0.008045707420585803,0.004022853710292902,False
14,P2X3,4w,0.08780329088035697,0.08413126336339129,0.008045707420585803,0.004022853710292902,False
15,P2X3,4w,0.07901831365622386,0.08413126336339129,0.008045707420585803,0.004022853710292902,False
