5,A5,0,A AIW00202 MNPC,ACTB,UNKNOWN,VIC,NFQ-MGB,19.043,19.072,0.035,5.929,5.814,0.137,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.977,N,N
6,A6,0,A AIW00202 MNPC,ACTB,UNKNOWN,VIC,NFQ-MGB,19.062,19.072,0.035,5.852,5.814,0.137,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.972,N,N
7,A7,0,A AIW00202 2WK,ACTB,UNKNOWN,VIC,NFQ-MGB,18.975,19.001,0.022,6.208,6.100,0.093,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.977,N,N
8,A8,0,A AIW00202 2WK,ACTB,UNKNOWN,VIC,NFQ-MGB,19.014,19.001,0.022,6.045,6.100,0.093,21.660,0.999,-3.385,97.418,1,0.159,1,3,13,Amp,,0.969,N,N
9,A9,0,A AIW00202 2WK,ACTB,UNKNOWN,VIC,NFQ-MGB,19.014,19.001,0.022,6.047,6.100,0.093,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.976,N,N
10,A10,0,A AIW00202 4WK,ACTB,UNKNOWN,VIC,NFQ-MGB,19.895,19.972,0.067,3.321,3.154,0.146,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.977,N,N
11,A11,0,A AIW00202 4WK,ACTB,UNKNOWN,VIC,NFQ-MGB,20.022,19.972,0.067,3.046,3.154,0.146,21.660,0.999,-3.385,97.418,1,0.159,1,3,14,Amp,,0.977,N,N
12,A12,0,A AIW00202 4WK,ACTB,UNKNOWN,VIC,NFQ-MGB,19.998,19.972,0.067,3.097,3.154,0.146,21.660,0.999,-3.385,97.418,1,0.159,1,3,15,Amp,,0.979,N,N
13,A13,0,A AIW00202 iPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.292,20.480,0.172,11.025,9.803,1.108,24.010,0.999,-3.567,90.712,1,0.116,1,3,15,Amp,,0.849,N,N
14,A14,0,A AIW00202 iPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.519,20.480,0.172,9.521,9.803,1.108,24.010,0.999,-3.567,90.712,1,0.116,1,3,15,Amp,,0.867,N,N
15,A15,0,A AIW00202 iPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.630,20.480,0.172,8.865,9.803,1.108,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.876,N,N
16,A16,0,A AIW00202 MNPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.488,20.565,0.096,9.711,9.253,0.565,24.010,0.999,-3.567,90.712,1,0.116,1,3,15,Amp,,0.857,N,N
17,A17,0,A AIW00202 MNPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.673,20.565,0.096,8.622,9.253,0.565,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.881,N,N
18,A18,0,A AIW00202 MNPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.534,20.565,0.096,9.427,9.253,0.565,24.010,0.999,-3.567,90.712,1,0.116,1,3,15,Amp,,0.861,N,N
19,A19,0,A AIW00202 2WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.073,21.148,0.078,6.657,6.347,0.319,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.907,N,N
20,A20,0,A AIW00202 2WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.229,21.148,0.078,6.019,6.347,0.319,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.905,N,N
21,A21,0,A AIW00202 2WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.142,21.148,0.078,6.366,6.347,0.319,24.010,0.999,-3.567,90.712,1,0.116,1,3,16,Amp,,0.908,N,N
22,A22,0,A AIW00202 4WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,22.119,22.057,0.076,3.389,3.530,0.176,24.010,0.999,-3.567,90.712,1,0.116,1,3,18,Amp,,0.933,N,N
23,A23,0,A AIW00202 4WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.972,22.057,0.076,3.727,3.530,0.176,24.010,0.999,-3.567,90.712,1,0.116,1,3,17,Amp,,0.925,N,N
24,A24,0,A AIW00202 4WK,GAPDH,UNKNOWN,VIC,NFQ-MGB,22.080,22.057,0.076,3.474,3.530,0.176,24.010,0.999,-3.567,90.712,1,0.116,1,3,18,Amp,,0.936,N,N
25,B1,0,,ACTB,STANDARD,VIC,NFQ-MGB,16.129,16.009,0.109,50.000,,,21.660,0.999,-3.385,97.418,1,0.159,1,3,11,Amp,,0.942,N,N
26,B2,0,,ACTB,STANDARD,VIC,NFQ-MGB,15.916,16.009,0.109,50.000,,,21.660,0.999,-3.385,97.418,1,0.159,1,3,11,Amp,,0.946,N,N
27,B3,0,,ACTB,STANDARD,VIC,NFQ-MGB,15.981,16.009,0.109,50.000,,,21.660,0.999,-3.385,97.418,1,0.159,1,3,11,Amp,,0.966,N,N
37,B13,0,,GAPDH,STANDARD,VIC,NFQ-MGB,17.758,17.832,0.151,50.000,,,24.010,0.999,-3.567,90.712,1,0.116,1,3,13,Amp,,0.820,N,N
38,B14,0,,GAPDH,STANDARD,VIC,NFQ-MGB,17.732,17.832,0.151,50.000,,,24.010,0.999,-3.567,90.712,1,0.116,1,3,13,Amp,,0.814,N,N
39,B15,0,,GAPDH,STANDARD,VIC,NFQ-MGB,18.006,17.832,0.151,50.000,,,24.010,0.999,-3.567,90.712,1,0.116,1,3,13,Amp,,0.822,N,N
