6,A6,0,A AIW00202 MNPC,Olig2,UNKNOWN,FAM,NFQ-MGB,33.591,32.856,0.669,0.947,1.648,0.667,33.509,0.986,-3.440,95.317,1,0.308,1,3,28,Amp,,0.950,Y
7,A7,0,A AIW00202 2WK,Olig2,UNKNOWN,FAM,NFQ-MGB,35.453,35.158,0.257,0.272,0.335,0.055,33.509,0.986,-3.440,95.317,1,0.308,1,3,30,Amp,,0.926,N
8,A8,0,A AIW00202 2WK,Olig2,UNKNOWN,FAM,NFQ-MGB,34.978,35.158,0.257,0.374,0.335,0.055,33.509,0.986,-3.440,95.317,1,0.308,1,3,29,Amp,,0.934,N
9,A9,0,A AIW00202 2WK,Olig2,UNKNOWN,FAM,NFQ-MGB,35.043,35.158,0.257,0.358,0.335,0.055,33.509,0.986,-3.440,95.317,1,0.308,1,3,30,Amp,,0.939,N
10,A10,0,A AIW00202 4WK,Olig2,UNKNOWN,FAM,NFQ-MGB,32.156,32.145,0.041,2.474,2.492,0.069,33.509,0.986,-3.440,95.317,1,0.308,1,3,27,Amp,,0.951,N
11,A11,0,A AIW00202 4WK,Olig2,UNKNOWN,FAM,NFQ-MGB,32.100,32.145,0.041,2.568,2.492,0.069,33.509,0.986,-3.440,95.317,1,0.308,1,3,26,Amp,,0.977,N
12,A12,0,A AIW00202 4WK,Olig2,UNKNOWN,FAM,NFQ-MGB,32.180,32.145,0.041,2.435,2.492,0.069,33.509,0.986,-3.440,95.317,1,0.308,1,3,25,Amp,,0.971,N
13,A13,0,A AIW00202 iPSC,Pax6,UNKNOWN,FAM,NFQ-MGB,32.307,32.277,0.279,0.053,0.055,0.010,27.891,0.989,-3.458,94.619,1,0.287,1,3,27,Amp,,0.950,N
14,A14,0,A AIW00202 iPSC,Pax6,UNKNOWN,FAM,NFQ-MGB,32.540,32.277,0.279,0.045,0.055,0.010,27.891,0.989,-3.458,94.619,1,0.287,1,3,26,Amp,,0.956,N
15,A15,0,A AIW00202 iPSC,Pax6,UNKNOWN,FAM,NFQ-MGB,31.984,32.277,0.279,0.066,0.055,0.010,27.891,0.989,-3.458,94.619,1,0.287,1,3,26,Amp,,0.953,N
16,A16,0,A AIW00202 MNPC,Pax6,UNKNOWN,FAM,NFQ-MGB,22.961,22.960,0.010,26.637,26.665,0.185,27.891,0.989,-3.458,94.619,1,0.287,1,3,18,Amp,,0.982,N
17,A17,0,A AIW00202 MNPC,Pax6,UNKNOWN,FAM,NFQ-MGB,22.969,22.960,0.010,26.495,26.665,0.185,27.891,0.989,-3.458,94.619,1,0.287,1,3,17,Amp,,0.983,N
18,A18,0,A AIW00202 MNPC,Pax6,UNKNOWN,FAM,NFQ-MGB,22.949,22.960,0.010,26.862,26.665,0.185,27.891,0.989,-3.458,94.619,1,0.287,1,3,17,Amp,,0.988,N
19,A19,0,A AIW00202 2WK,Pax6,UNKNOWN,FAM,NFQ-MGB,25.449,25.556,0.108,5.083,4.742,0.340,27.891,0.989,-3.458,94.619,1,0.287,1,3,20,Amp,,0.970,N
20,A20,0,A AIW00202 2WK,Pax6,UNKNOWN,FAM,NFQ-MGB,25.554,25.556,0.108,4.739,4.742,0.340,27.891,0.989,-3.458,94.619,1,0.287,1,3,20,Amp,,0.982,N
21,A21,0,A AIW00202 2WK,Pax6,UNKNOWN,FAM,NFQ-MGB,25.665,25.556,0.108,4.403,4.742,0.340,27.891,0.989,-3.458,94.619,1,0.287,1,3,21,Amp,,0.979,N
22,A22,0,A AIW00202 4WK,Pax6,UNKNOWN,FAM,NFQ-MGB,27.453,27.579,0.116,1.339,1.233,0.096,27.891,0.989,-3.458,94.619,1,0.287,1,3,22,Amp,,0.975,N
23,A23,0,A AIW00202 4WK,Pax6,UNKNOWN,FAM,NFQ-MGB,27.604,27.579,0.116,1.210,1.233,0.096,27.891,0.989,-3.458,94.619,1,0.287,1,3,21,Amp,,0.952,N
24,A24,0,A AIW00202 4WK,Pax6,UNKNOWN,FAM,NFQ-MGB,27.681,27.579,0.116,1.150,1.233,0.096,27.891,0.989,-3.458,94.619,1,0.287,1,3,21,Amp,,0.986,N
25,B1,0,,Olig2,STANDARD,FAM,NFQ-MGB,27.154,27.305,0.153,50.000,,,33.509,0.986,-3.440,95.317,1,0.308,1,3,21,Amp,,0.983,N
26,B2,0,,Olig2,STANDARD,FAM,NFQ-MGB,27.301,27.305,0.153,50.000,,,33.509,0.986,-3.440,95.317,1,0.308,1,3,21,Amp,,0.981,N
27,B3,0,,Olig2,STANDARD,FAM,NFQ-MGB,27.461,27.305,0.153,50.000,,,33.509,0.986,-3.440,95.317,1,0.308,1,3,20,Amp,,0.970,N
37,B13,0,,Pax6,STANDARD,FAM,NFQ-MGB,21.517,21.667,0.137,50.000,,,27.891,0.989,-3.458,94.619,1,0.287,1,3,16,Amp,,0.973,N
38,B14,0,,Pax6,STANDARD,FAM,NFQ-MGB,21.700,21.667,0.137,50.000,,,27.891,0.989,-3.458,94.619,1,0.287,1,3,17,Amp,,0.970,N
39,B15,0,,Pax6,STANDARD,FAM,NFQ-MGB,21.785,21.667,0.137,50.000,,,27.891,0.989,-3.458,94.619,1,0.287,1,3,17,Amp,,0.976,N
49,C1,0,B AIW00202 iPSC,Olig2,UNKNOWN,FAM,NFQ-MGB,35.274,35.422,0.163,0.307,0.279,0.030,33.509,0.986,-3.440,95.317,1,0.308,1,3,28,Amp,,0.931,N
50,C2,0,B AIW00202 iPSC,Olig2,UNKNOWN,FAM,NFQ-MGB,35.597,35.422,0.163,0.247,0.279,0.030,33.509,0.986,-3.440,95.317,1,0.308,1,3,31,Amp,,0.916,N
51,C3,0,B AIW00202 iPSC,Olig2,UNKNOWN,FAM,NFQ-MGB,35.395,35.422,0.163,0.283,0.279,0.030,33.509,0.986,-3.440,95.317,1,0.308,1,3,30,Amp,,0.924,N
52,C4,0,B AIW00202 MNPC,Olig2,UNKNOWN,FAM,NFQ-MGB,30.397,30.582,0.162,8.034,7.125,0.794,33.509,0.986,-3.440,95.317,1,0.308,1,3,24,Amp,,0.963,N
53,C5,0,B AIW00202 MNPC,Olig2,UNKNOWN,FAM,NFQ-MGB,30.698,30.582,0.162,6.566,7.125,0.794,33.509,0.986,-3.440,95.317,1,0.308,1,3,24,Amp,,0.958,N
54,C6,0,B AIW00202 MNPC,Olig2,UNKNOWN,FAM,NFQ-MGB,30.651,30.582,0.162,6.775,7.125,0.794,33.509,0.986,-3.440,95.317,1,0.308,1,3,24,Amp,,0.965,N
55,C7,0,B AIW00202 2WK,Olig2,UNKNOWN,FAM,NFQ-MGB,35.955,35.671,0.249,0.194,0.237,0.038,33.509,0.986,-3.440,95.317,1,0.308,1,3,30,Amp,,0.902,N
56,C8,0,B AIW00202 2WK,Olig2,UNKNOWN,FAM,NFQ-MGB,35.567,35.671,0.249,0.252,0.237,0.038,33.509,0.986,-3.440,95.317,1,0.308,1,3,29,Amp,,0.908,N
57,C9,0,B AIW00202 2WK,Olig2,UNKNOWN,FAM,NFQ-MGB,35.492,35.671,0.249,0.265,0.237,0.038,33.509,0.986,-3.440,95.317,1,0.308,1,3,30,Amp,,0.934,N
58,C10,0,B AIW00202 4WK,Olig2,UNKNOWN,FAM,NFQ-MGB,35.729,35.779,0.641,0.226,0.232,0.095,33.509,0.986,-3.440,95.317,1,0.308,1,3,30,Amp,,0.904,Y
59,C11,0,B AIW00202 4WK,Olig2,UNKNOWN,FAM,NFQ-MGB,36.444,35.779,0.641,0.140,0.232,0.095,33.509,0.986,-3.440,95.317,1,0.308,1,3,30,Amp,,0.901,Y
60,C12,0,B AIW00202 4WK,Olig2,UNKNOWN,FAM,NFQ-MGB,35.165,35.779,0.641,0.330,0.232,0.095,33.509,0.986,-3.440,95.317,1,0.308,1,3,28,Amp,,0.942,Y
61,C13,0,B AIW00202 iPSC,Pax6,UNKNOWN,FAM,NFQ-MGB,29.827,29.954,0.151,0.275,0.254,0.025,27.891,0.989,-3.458,94.619,1,0.287,1,3,24,Amp,,0.961,N
62,C14,0,B AIW00202 iPSC,Pax6,UNKNOWN,FAM,NFQ-MGB,30.121,29.954,0.151,0.226,0.254,0.025,27.891,0.989,-3.458,94.619,1,0.287,1,3,24,Amp,,0.959,N
63,C15,0,B AIW00202 iPSC,Pax6,UNKNOWN,FAM,NFQ-MGB,29.914,29.954,0.151,0.260,0.254,0.025,27.891,0.989,-3.458,94.619,1,0.287,1,3,24,Amp,,0.977,N
64,C16,0,B AIW00202 MNPC,Pax6,UNKNOWN,FAM,NFQ-MGB,22.326,22.433,0.094,40.675,37.909,2.410,27.891,0.989,-3.458,94.619,1,0.287,1,3,16,Amp,,0.973,N
65,C17,0,B AIW00202 MNPC,Pax6,UNKNOWN,FAM,NFQ-MGB,22.498,22.433,0.094,36.258,37.909,2.410,27.891,0.989,-3.458,94.619,1,0.287,1,3,17,Amp,,0.971,N
66,C18,0,B AIW00202 MNPC,Pax6,UNKNOWN,FAM,NFQ-MGB,22.476,22.433,0.094,36.795,37.909,2.410,27.891,0.989,-3.458,94.619,1,0.287,1,3,17,Amp,,0.974,N
67,C19,0,B AIW00202 2WK,Pax6,UNKNOWN,FAM,NFQ-MGB,25.962,26.126,0.143,3.611,3.248,0.317,27.891,0.989,-3.458,94.619,1,0.287,1,3,19,Amp,,0.970,N
68,C20,0,B AIW00202 2WK,Pax6,UNKNOWN,FAM,NFQ-MGB,26.191,26.126,0.143,3.100,3.248,0.317,27.891,0.989,-3.458,94.619,1,0.287,1,3,19,Amp,,0.973,N
69,C21,0,B AIW00202 2WK,Pax6,UNKNOWN,FAM,NFQ-MGB,26.225,26.126,0.143,3.032,3.248,0.317,27.891,0.989,-3.458,94.619,1,0.287,1,3,20,Amp,,0.983,N
70,C22,0,B AIW00202 4WK,Pax6,UNKNOWN,FAM,NFQ-MGB,27.091,27.126,0.070,1.704,1.665,0.076,27.891,0.989,-3.458,94.619,1,0.287,1,3,21,Amp,,0.984,N
71,C23,0,B AIW00202 4WK,Pax6,UNKNOWN,FAM,NFQ-MGB,27.081,27.126,0.070,1.715,1.665,0.076,27.891,0.989,-3.458,94.619,1,0.287,1,3,21,Amp,,0.978,N
72,C24,0,B AIW00202 4WK,Pax6,UNKNOWN,FAM,NFQ-MGB,27.206,27.126,0.070,1.577,1.665,0.076,27.891,0.989,-3.458,94.619,1,0.287,1,3,21,Amp,,0.979,N
74,D2,0,,Olig2,STANDARD,FAM,NFQ-MGB,30.003,30.003,0.001,12.500,,,33.509,0.986,-3.440,95.317,1,0.308,1,3,24,Amp,,0.980,N
