4,A4,0,A AIW00202 MNPC,ChAT,UNKNOWN,FAM,NFQ-MGB,30.567,30.549,0.135,1.322,1.342,0.121,30.988,0.981,-3.469,94.201,1,0.338,1,3,25,Amp,,0.961,N,N,N,N
5,A5,0,A AIW00202 MNPC,ChAT,UNKNOWN,FAM,NFQ-MGB,30.406,30.549,0.135,1.472,1.342,0.121,30.988,0.981,-3.469,94.201,1,0.338,1,3,24,Amp,,0.960,N,N,N,N
6,A6,0,A AIW00202 MNPC,ChAT,UNKNOWN,FAM,NFQ-MGB,30.674,30.549,0.135,1.232,1.342,0.121,30.988,0.981,-3.469,94.201,1,0.338,1,3,26,Amp,,0.966,N,N,N,N
7,A7,0,A AIW00202 2WK,ChAT,UNKNOWN,FAM,NFQ-MGB,25.239,25.414,0.152,45.405,40.556,4.200,30.988,0.981,-3.469,94.201,1,0.338,1,3,20,Amp,,0.961,N,N,N,N
8,A8,0,A AIW00202 2WK,ChAT,UNKNOWN,FAM,NFQ-MGB,25.505,25.414,0.152,38.046,40.556,4.200,30.988,0.981,-3.469,94.201,1,0.338,1,3,20,Amp,,0.963,N,N,N,N
9,A9,0,A AIW00202 2WK,ChAT,UNKNOWN,FAM,NFQ-MGB,25.498,25.414,0.152,38.218,40.556,4.200,30.988,0.981,-3.469,94.201,1,0.338,1,3,20,Amp,,0.965,N,N,N,N
10,A10,0,A AIW00202 4WK,ChAT,UNKNOWN,FAM,NFQ-MGB,27.869,27.930,0.058,7.927,7.614,0.295,30.988,0.981,-3.469,94.201,1,0.338,1,3,23,Amp,,0.959,N,N,N,N
11,A11,0,A AIW00202 4WK,ChAT,UNKNOWN,FAM,NFQ-MGB,27.937,27.930,0.058,7.575,7.614,0.295,30.988,0.981,-3.469,94.201,1,0.338,1,3,23,Amp,,0.959,N,N,N,N
12,A12,0,A AIW00202 4WK,ChAT,UNKNOWN,FAM,NFQ-MGB,27.984,27.930,0.058,7.341,7.614,0.295,30.988,0.981,-3.469,94.201,1,0.338,1,3,22,Amp,,0.957,N,N,N,N
13,A13,0,A AIW00202 iPSC,MAP2,UNKNOWN,FAM,NFQ-MGB,27.578,27.652,0.069,0.545,0.520,0.023,26.632,0.993,-3.592,89.854,1,0.283,1,3,22,Amp,,0.978,N,N,N,N
14,A14,0,A AIW00202 iPSC,MAP2,UNKNOWN,FAM,NFQ-MGB,27.713,27.652,0.069,0.500,0.520,0.023,26.632,0.993,-3.592,89.854,1,0.283,1,3,21,Amp,,0.980,N,N,N,N
15,A15,0,A AIW00202 iPSC,MAP2,UNKNOWN,FAM,NFQ-MGB,27.666,27.652,0.069,0.516,0.520,0.023,26.632,0.993,-3.592,89.854,1,0.283,1,3,22,Amp,,0.980,N,N,N,N
16,A16,0,A AIW00202 MNPC,MAP2,UNKNOWN,FAM,NFQ-MGB,25.072,25.141,0.103,2.720,2.605,0.168,26.632,0.993,-3.592,89.854,1,0.283,1,3,19,Amp,,0.971,N,N,N,N
17,A17,0,A AIW00202 MNPC,MAP2,UNKNOWN,FAM,NFQ-MGB,25.092,25.141,0.103,2.685,2.605,0.168,26.632,0.993,-3.592,89.854,1,0.283,1,3,20,Amp,,0.974,N,N,N,N
18,A18,0,A AIW00202 MNPC,MAP2,UNKNOWN,FAM,NFQ-MGB,25.259,25.141,0.103,2.412,2.605,0.168,26.632,0.993,-3.592,89.854,1,0.283,1,3,19,Amp,,0.984,N,N,N,N
