Target Name,DF,F,MS,SS,p-value,p-value corrected,measures,distribution,test,statistic,effect size
NRXN3,5,4.968,0.332,1.661,0.0034035285891626816,0.006807057178325363,independent,parametric,ANOVA,NA,0.53
B2M,5,3.106,0.0,0.0,0.028593795529736406,0.05718759105947281,independent,parametric,ANOVA,NA,0.414
