,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Groups,Group
0,NRXN3,B4bisNST,0.16996677740863791,0.21182724252491694,0.03699487336647003,0.02135900009676759,False,Con_NST,Con_NST
1,NRXN3,B4bisNST,0.22538205980066447,0.21182724252491694,0.03699487336647003,0.02135900009676759,False,Con_NST,Con_NST
2,NRXN3,B4bisNST,0.24013289036544852,0.21182724252491694,0.03699487336647003,0.02135900009676759,False,Con_NST,Con_NST
3,NRXN3,B6NST,0.24580386159434142,0.18120818199197095,0.055960611906988145,0.03230887434851579,False,Con_NST,Con_NST
4,NRXN3,B6NST,0.1503727776715733,0.18120818199197095,0.055960611906988145,0.03230887434851579,False,Con_NST,Con_NST
5,NRXN3,B6NST,0.14744790670999808,0.18120818199197095,0.055960611906988145,0.03230887434851579,False,Con_NST,Con_NST
6,NRXN3,R6 NST,0.35460462873674065,0.3289778206364513,0.036433240271248744,0.021034741078055776,False,Con_NST,Con_NST
7,NRXN3,R6 NST,0.2872709739633559,0.3289778206364513,0.036433240271248744,0.021034741078055776,False,Con_NST,Con_NST
8,NRXN3,R6 NST,0.3450578592092575,0.3289778206364513,0.036433240271248744,0.021034741078055776,False,Con_NST,Con_NST
9,NRXN3,V4 NST,0.22427184466019418,0.18894527802294794,0.0763955735107553,0.044107004931330414,False,Con_NST,Con_NST
10,NRXN3,V4 NST,0.24128420123565755,0.18894527802294794,0.0763955735107553,0.044107004931330414,False,Con_NST,Con_NST
11,NRXN3,V4 NST,0.10127978817299206,0.18894527802294794,0.0763955735107553,0.044107004931330414,False,Con_NST,Con_NST
12,NRXN3,V3 NST,0.2377344656931631,0.28453595649783103,0.04664949464652363,0.026933098291730427,False,Con_NST,Con_NST
13,NRXN3,V3 NST,0.33103195454267736,0.28453595649783103,0.04664949464652363,0.026933098291730427,False,Con_NST,Con_NST
14,NRXN3,V3 NST,0.28484144925765265,0.28453595649783103,0.04664949464652363,0.026933098291730427,False,Con_NST,Con_NST
15,NRXN3,R5bis NST,0.1215737579373943,0.1560037014582469,0.030845362522233796,0.017808578355463275,False,Cocaine_NST,Cocaine_NST
16,NRXN3,R5bis NST,0.18111618111618114,0.1560037014582469,0.030845362522233796,0.017808578355463275,False,Cocaine_NST,Cocaine_NST
17,NRXN3,R5bis NST,0.1653211653211653,0.1560037014582469,0.030845362522233796,0.017808578355463275,False,Cocaine_NST,Cocaine_NST
18,NRXN3,R6bisNST,0.17281383112002002,0.21175144074166874,0.07098625010867392,0.04098393060900499,False,Cocaine_NST,Cocaine_NST
19,NRXN3,R6bisNST,0.168754698070659,0.21175144074166874,0.07098625010867392,0.04098393060900499,False,Cocaine_NST,Cocaine_NST
20,NRXN3,R6bisNST,0.29368579303432724,0.21175144074166874,0.07098625010867392,0.04098393060900499,False,Cocaine_NST,Cocaine_NST
21,NRXN3,R8bisNST,1.5135971700198985,0.7209816493477782,0.6870092090410438,0.39664495177559855,False,Cocaine_NST,Cocaine_NST
22,NRXN3,R8bisNST,0.35299579924828656,0.7209816493477782,0.6870092090410438,0.39664495177559855,False,Cocaine_NST,Cocaine_NST
23,NRXN3,R8bisNST,0.29635197877514924,0.7209816493477782,0.6870092090410438,0.39664495177559855,False,Cocaine_NST,Cocaine_NST
24,NRXN3,V2NST,0.18715037500517961,0.2537604110554013,0.09609587125167471,0.05548097713516602,False,Cocaine_NST,Cocaine_NST
25,NRXN3,V2NST,0.36392077238635895,0.2537604110554013,0.09609587125167471,0.05548097713516602,False,Cocaine_NST,Cocaine_NST
26,NRXN3,V2NST,0.2102100857746654,0.2537604110554013,0.09609587125167471,0.05548097713516602,False,Cocaine_NST,Cocaine_NST
27,NRXN3,V8NST,0.3275043177892919,0.23213514680483593,0.13487237503849628,0.09536917098445595,False,Cocaine_NST,Cocaine_NST
28,NRXN3,V8NST,0.13676597582037997,0.23213514680483593,0.13487237503849628,0.09536917098445595,False,Cocaine_NST,Cocaine_NST
29,NRXN3,B4bisGP,0.9520791466996443,0.5192301746792394,0.3757265324095898,0.21692581462836133,False,Con_GP,Con_GP
30,NRXN3,B4bisGP,0.27727624053176686,0.5192301746792394,0.3757265324095898,0.21692581462836133,False,Con_GP,Con_GP
31,NRXN3,B4bisGP,0.328335136806307,0.5192301746792394,0.3757265324095898,0.21692581462836133,False,Con_GP,Con_GP
32,NRXN3,R6 GP,0.5063006300630063,0.5614311431143114,0.04804889108866103,0.02774104020430146,False,Con_GP,Con_GP
33,NRXN3,R6 GP,0.5943969396939693,0.5614311431143114,0.04804889108866103,0.02774104020430146,False,Con_GP,Con_GP
34,NRXN3,R6 GP,0.5835958595859586,0.5614311431143114,0.04804889108866103,0.02774104020430146,False,Con_GP,Con_GP
35,NRXN3,V3 GP,0.5297673566587288,0.6435702509617146,0.26219821227987905,0.1513802084408268,False,Con_GP,Con_GP
36,NRXN3,V3 GP,0.45750137387799966,0.6435702509617146,0.26219821227987905,0.1513802084408268,False,Con_GP,Con_GP
37,NRXN3,V3 GP,0.9434420223484156,0.6435702509617146,0.26219821227987905,0.1513802084408268,False,Con_GP,Con_GP
38,NRXN3,V4 GP,0.6201750895344211,0.437624353362515,0.16387009622289378,0.0946104441664176,False,Con_GP,Con_GP
39,NRXN3,V4 GP,0.30322323915638677,0.437624353362515,0.16387009622289378,0.0946104441664176,False,Con_GP,Con_GP
40,NRXN3,V4 GP,0.38947473139673694,0.437624353362515,0.16387009622289378,0.0946104441664176,False,Con_GP,Con_GP
