,,rq,rq,rqSD,rqSEM
,,size,mean,mean,mean
Target Name,Sample Name,,,,
SOX2,TD22,3.0,0.6445633231435158,0.029995494299409713,0.017317906708240082
ZFP42,3448,3.0,1.1251615583276944,0.06256566196939778,0.036122301780058944
ZFP42,3450,3.0,1.5925656409256856,0.1314872953879989,0.075914225387277
ZFP42,AIW001-2,3.0,1.2948313821115796,,
ZFP42,AIW002-02,3.0,1.8786386395014618,0.160186648431203,0.092483804592339
ZFP42,AJC,3.0,1.774311010858108,0.08985170211330949,0.051875904402265305
ZFP42,AJD,3.0,1.015992629398203,0.034689392920617235,0.02002793034074306
ZFP42,AJG,3.0,3.94859624950529,0.27802324465398126,0.16051679514194928
ZFP42,H9,3.0,1.8531094639716004,0.10823004798684405,0.06248664733961053
ZFP42,TD02,3.0,0.805425246575585,0.06523747000655364,0.037664870869533885
ZFP42,TD03,3.0,2.248104162397116,0.12039853298757035,0.06951212543040979
ZFP42,TD10,3.0,0.9723663227616218,0.04455986626108243,0.025726650780889666
ZFP42,TD22,3.0,0.4657511209629943,0.024258632482696506,0.014005727994057027
cot3/4,3448,2.0,9.608170696484622,0.9356564672806996,0.6616090328752317
cot3/4,3450,3.0,9.190556691559804,0.23564046892902737,0.13604708816814362
cot3/4,AIW001-2,3.0,13.76321539721009,,
cot3/4,AIW002-02,3.0,21.156545949828644,3.5767842090092032,2.0650573259046667
