Target Name,DF,tail,paired,p-val,effect size,power,Bayes factor
PAX6,2,two-sided,TRUE,0.12858872392924126,2.126,0.509,1.421
CAMK2A,2,two-sided,TRUE,0.03160595437286039,1.425,0.294,3.35
GRIN1,2,two-sided,TRUE,0.022624404216279235,2.554,0.634,4.057
ACTB,2,two-sided,TRUE,0.4162310497089241,0.345,0.066,0.667
GAPDH,2,two-sided,TRUE,0.42410085825191746,0.386,0.07,0.659
