Target Name,DF,tail,paired,p-val,effect size,power,Bayes factor
PAX6,2,two-sided,TRUE,0.14475537135608477,2.308,0.564,1.317
CAMK2A,2,two-sided,TRUE,0.028864028238018483,1.877,0.433,3.53
GRIN1,2,two-sided,TRUE,0.10360502809236825,1.713,0.381,1.632
ACTB,2,two-sided,TRUE,0.24119441009771236,1.134,0.213,0.944
GAPDH,2,two-sided,TRUE,0.18847391835870989,1.084,0.2,1.109
