7,A7,0,522-266-2-IPSC,GRIA1,UNKNOWN,FAM,NFQ-MGB,28.566,28.630,0.059,1.372,1.315,0.053,29.033,0.996,-3.392,97.161,1,0.310,1,3,23,Amp,,0.984
8,A8,0,522-266-2-IPSC,GRIA1,UNKNOWN,FAM,NFQ-MGB,28.640,28.630,0.059,1.306,1.315,0.053,29.033,0.996,-3.392,97.161,1,0.310,1,3,23,Amp,,0.985
9,A9,0,522-266-2-IPSC,GRIA1,UNKNOWN,FAM,NFQ-MGB,28.683,28.630,0.059,1.268,1.315,0.053,29.033,0.996,-3.392,97.161,1,0.310,1,3,23,Amp,,0.984
10,A10,0,,GRIA1,STANDARD,FAM,NFQ-MGB,22.982,23.134,0.132,50.000,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,17,Amp,,0.990
11,A11,0,,GRIA1,STANDARD,FAM,NFQ-MGB,23.207,23.134,0.132,50.000,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,17,Amp,,0.988
12,A12,0,,GRIA1,STANDARD,FAM,NFQ-MGB,23.212,23.134,0.132,50.000,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,16,Amp,,0.987
13,B1,0,AiW001-2-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.735,24.821,0.088,18.494,17.464,1.044,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.986
14,B2,0,AiW001-2-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.817,24.821,0.088,17.492,17.464,1.044,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.994
15,B3,0,AiW001-2-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.911,24.821,0.088,16.405,17.464,1.044,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.993
16,B4,0,AJC001-5-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,26.194,26.248,0.054,6.869,6.624,0.244,29.033,0.996,-3.392,97.161,1,0.310,1,3,20,Amp,,0.989
17,B5,0,AJC001-5-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,26.247,26.248,0.054,6.624,6.624,0.244,29.033,0.996,-3.392,97.161,1,0.310,1,3,20,Amp,,0.988
18,B6,0,AJC001-5-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,26.303,26.248,0.054,6.380,6.624,0.244,29.033,0.996,-3.392,97.161,1,0.310,1,3,20,Amp,,0.987
19,B7,0,522-266-2-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,26.631,26.737,0.109,5.106,4.759,0.352,29.033,0.996,-3.392,97.161,1,0.310,1,3,21,Amp,,0.991
20,B8,0,522-266-2-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,26.849,26.737,0.109,4.403,4.759,0.352,29.033,0.996,-3.392,97.161,1,0.310,1,3,20,Amp,,0.988
21,B9,0,522-266-2-NPC,GRIA1,UNKNOWN,FAM,NFQ-MGB,26.732,26.737,0.109,4.769,4.759,0.352,29.033,0.996,-3.392,97.161,1,0.310,1,3,20,Amp,,0.989
22,B10,0,,GRIA1,STANDARD,FAM,NFQ-MGB,25.197,25.357,0.143,12.500,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.990
23,B11,0,,GRIA1,STANDARD,FAM,NFQ-MGB,25.474,25.357,0.143,12.500,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.991
24,B12,0,,GRIA1,STANDARD,FAM,NFQ-MGB,25.399,25.357,0.143,12.500,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.988
25,C1,0,AiW001-2-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,23.961,24.014,0.122,31.272,30.238,2.446,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.987
26,C2,0,AiW001-2-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,23.927,24.014,0.122,31.998,30.238,2.446,29.033,0.996,-3.392,97.161,1,0.310,1,3,17,Amp,,0.989
27,C3,0,AiW001-2-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.153,24.014,0.122,27.445,30.238,2.446,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.990
28,C4,0,AJC001-5-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,23.984,24.035,0.054,30.792,29.755,1.083,29.033,0.996,-3.392,97.161,1,0.310,1,3,17,Amp,,0.989
29,C5,0,AJC001-5-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.091,24.035,0.054,28.632,29.755,1.083,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.986
30,C6,0,AJC001-5-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.030,24.035,0.054,29.842,29.755,1.083,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.989
31,C7,0,522-266-2-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,25.136,25.079,0.084,14.083,14.662,0.854,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.991
32,C8,0,522-266-2-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,25.118,25.079,0.084,14.262,14.662,0.854,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.991
33,C9,0,522-266-2-DA4W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.982,25.079,0.084,15.643,14.662,0.854,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.993
34,C10,0,,GRIA1,STANDARD,FAM,NFQ-MGB,27.281,27.457,0.174,3.125,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,21,Amp,,0.993
35,C11,0,,GRIA1,STANDARD,FAM,NFQ-MGB,27.464,27.457,0.174,3.125,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,20,Amp,,0.989
36,C12,0,,GRIA1,STANDARD,FAM,NFQ-MGB,27.628,27.457,0.174,3.125,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,22,Amp,,0.991
37,D1,0,AiW001-2-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,23.759,23.818,0.067,35.872,34.482,1.564,29.033,0.996,-3.392,97.161,1,0.310,1,3,17,Amp,,0.992
38,D2,0,AiW001-2-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,23.804,23.818,0.067,34.784,34.482,1.564,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.988
39,D3,0,AiW001-2-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,23.891,23.818,0.067,32.789,34.482,1.564,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.992
40,D4,0,AJC001-5-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.228,24.245,0.043,26.095,25.804,0.743,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.988
41,D5,0,AJC001-5-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.293,24.245,0.043,24.959,25.804,0.743,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.988
42,D6,0,AJC001-5-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.213,24.245,0.043,26.357,25.804,0.743,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.992
43,D7,0,522-266-2-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.590,24.586,0.009,20.411,20.465,0.121,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.987
44,D8,0,522-266-2-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.576,24.586,0.009,20.603,20.465,0.121,29.033,0.996,-3.392,97.161,1,0.310,1,3,18,Amp,,0.992
45,D9,0,522-266-2-DA6W,GRIA1,UNKNOWN,FAM,NFQ-MGB,24.592,24.586,0.009,20.380,20.465,0.121,29.033,0.996,-3.392,97.161,1,0.310,1,3,17,Amp,,0.992
46,D10,0,,GRIA1,STANDARD,FAM,NFQ-MGB,29.198,29.479,0.263,0.781,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,23,Amp,,0.988
47,D11,0,,GRIA1,STANDARD,FAM,NFQ-MGB,29.520,29.479,0.263,0.781,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,24,Amp,,0.992
48,D12,0,,GRIA1,STANDARD,FAM,NFQ-MGB,29.719,29.479,0.263,0.781,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,24,Amp,,0.993
49,E1,0,AiW002-2-IPSC,GRIA1,UNKNOWN,FAM,NFQ-MGB,28.457,28.385,0.089,1.478,1.555,0.095,29.033,0.996,-3.392,97.161,1,0.310,1,3,22,Amp,,0.985
50,E2,0,AiW002-2-IPSC,GRIA1,UNKNOWN,FAM,NFQ-MGB,28.411,28.385,0.089,1.524,1.555,0.095,29.033,0.996,-3.392,97.161,1,0.310,1,3,21,Amp,,0.988
51,E3,0,AiW002-2-IPSC,GRIA1,UNKNOWN,FAM,NFQ-MGB,28.285,28.385,0.089,1.661,1.555,0.095,29.033,0.996,-3.392,97.161,1,0.310,1,3,23,Amp,,0.984
52,E4,0,AJG001C4-IPSC,GRIA1,UNKNOWN,FAM,NFQ-MGB,28.226,28.112,0.100,1.729,1.871,0.125,29.033,0.996,-3.392,97.161,1,0.310,1,3,23,Amp,,0.988
53,E5,0,AJG001C4-IPSC,GRIA1,UNKNOWN,FAM,NFQ-MGB,28.075,28.112,0.100,1.916,1.871,0.125,29.033,0.996,-3.392,97.161,1,0.310,1,3,22,Amp,,0.986
54,E6,0,AJG001C4-IPSC,GRIA1,UNKNOWN,FAM,NFQ-MGB,28.036,28.112,0.100,1.967,1.871,0.125,29.033,0.996,-3.392,97.161,1,0.310,1,3,22,Amp,,0.990
55,E7,0,NCRM1-IPSC,GRIA1,UNKNOWN,FAM,NFQ-MGB,28.223,28.114,0.120,1.732,1.870,0.154,29.033,0.996,-3.392,97.161,1,0.310,1,3,22,Amp,,0.990
56,E8,0,NCRM1-IPSC,GRIA1,UNKNOWN,FAM,NFQ-MGB,28.132,28.114,0.120,1.842,1.870,0.154,29.033,0.996,-3.392,97.161,1,0.310,1,3,19,Amp,,0.989
57,E9,0,NCRM1-IPSC,GRIA1,UNKNOWN,FAM,NFQ-MGB,27.985,28.114,0.120,2.036,1.870,0.154,29.033,0.996,-3.392,97.161,1,0.310,1,3,22,Amp,,0.988
58,E10,0,,GRIA1,STANDARD,FAM,NFQ-MGB,31.229,31.516,0.374,0.195,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,25,Amp,,0.985
59,E11,0,,GRIA1,STANDARD,FAM,NFQ-MGB,31.381,31.516,0.374,0.195,,,29.033,0.996,-3.392,97.161,1,0.310,1,3,25,Amp,,0.989
