Block Type,96-Well 0.2-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,10-12-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration CM MELTDOCTOR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration CM MELTDOCTOR performed on,10-12-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MELTDOCTOR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MELTDOCTOR performed on,10-12-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A7,FALSE,522-266-2-IPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,22.523,22.652,0.114,5.817,5.4,0.367,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,18,Amp,,0.872,N,,,
8,A8,FALSE,522-266-2-IPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,22.695,22.652,0.114,5.259,5.4,0.367,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,18,Amp,,0.885,N,,,
9,A9,FALSE,522-266-2-IPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,22.739,22.652,0.114,5.124,5.4,0.367,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,18,Amp,,0.888,N,,,
10,A10,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,18.93,19.03,0.117,50,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,15,Amp,,0.784,Y,,,
11,A11,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,19.002,19.03,0.117,50,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,15,Amp,,0.769,Y,,,
12,A12,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,19.158,19.03,0.117,50,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,15,Amp,,0.792,Y,,,
13,B1,FALSE,AiW001-2-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,22.365,22.514,0.369,6.382,5.936,1.208,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,18,Amp,,0.863,N,,,
14,B2,FALSE,AiW001-2-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,22.243,22.514,0.369,6.859,5.936,1.208,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,18,Amp,,0.853,N,,,
15,B3,FALSE,AiW001-2-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,22.934,22.514,0.369,4.568,5.936,1.208,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,18,Amp,,0.868,N,,,
16,B4,FALSE,AJC001-5-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,20.893,21.188,0.357,15.16,12.931,2.587,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.804,N,,,
