Target Name,DF,T,tail,paired,p-val,effect size,power,Bayes factor
B2M,1.0,,two-sided,FALSE,,,,nan
NRXN3,6.49,-2.456,two-sided,FALSE,0.04634655430151204,1.652,0.564,2.041
