Target Name,DF,T,tail,paired,p-val,effect size,power,Bayes factor
B2M,12.99,0.0,two-sided,FALSE,1.0,0.0,0.05,0.354
NRXN3,25.09,-1.565,two-sided,FALSE,0.13004332720109707,0.579,0.313,0.868
