,Target Name,Sample Name,filename,rq,rqMean,rqSD,rqSEM,Outliers,Group
0,ACTB,AiW002-2-,RELATIVE_example4.csv,2.988317282366791,2.836701019428683,0.14292242067857747,0.08251629805200963,False,D0
1,ACTB,AiW002-2-,RELATIVE_example4.csv,2.817339322232628,2.836701019428683,0.14292242067857747,0.08251629805200963,False,D0
2,ACTB,AiW002-2-,RELATIVE_example4.csv,2.704446453686629,2.836701019428683,0.14292242067857747,0.08251629805200963,False,D0
3,ACTB,AiW002-2-,RELATIVE_example4.csv,3.0164116637039786,2.9401816350862844,0.13750788098695704,0.07939021210351467,False,D7
4,ACTB,AiW002-2-,RELATIVE_example4.csv,2.781442600009464,2.9401816350862844,0.13750788098695704,0.07939021210351467,False,D7
5,ACTB,AiW002-2-,RELATIVE_example4.csv,3.0226906415454087,2.9401816350862844,0.13750788098695704,0.07939021210351467,False,D7
6,ACTB,KYOU-,RELATIVE_example4.csv,1.8418641626117496,2.142517870587071,0.3692892210498505,0.21320923118195842,False,D0
7,ACTB,KYOU-,RELATIVE_example4.csv,2.5547226344757448,2.142517870587071,0.3692892210498505,0.21320923118195842,False,D0
8,ACTB,KYOU-,RELATIVE_example4.csv,2.03096681467372,2.142517870587071,0.3692892210498505,0.21320923118195842,False,D0
9,ACTB,KYOU-,RELATIVE_example4.csv,2.0616984470871285,2.4513051246306836,0.40914927875544504,0.23622244622819744,False,D7
10,ACTB,KYOU-,RELATIVE_example4.csv,2.4146822118314573,2.4513051246306836,0.40914927875544504,0.23622244622819744,False,D7
11,ACTB,KYOU-,RELATIVE_example4.csv,2.877534714973464,2.4513051246306836,0.40914927875544504,0.23622244622819744,False,D7
12,ACTB,FX8-1-,RELATIVE_example4.csv,1.942839423730753,2.453756222768842,0.4448520275658405,0.2568354378646889,False,D0
13,ACTB,FX8-1-,RELATIVE_example4.csv,2.7552183696889845,2.453756222768842,0.4448520275658405,0.2568354378646889,False,D0
14,ACTB,FX8-1-,RELATIVE_example4.csv,2.6632108748867886,2.453756222768842,0.4448520275658405,0.2568354378646889,False,D0
15,ACTB,FX8-1-,RELATIVE_example4.csv,2.3500096265929895,2.3792759335653257,0.0788312666724609,0.04551325303390448,False,D7
16,ACTB,FX8-1-,RELATIVE_example4.csv,2.319263383475633,2.3792759335653257,0.0788312666724609,0.04551325303390448,False,D7
17,ACTB,FX8-1-,RELATIVE_example4.csv,2.4685547906273557,2.3792759335653257,0.0788312666724609,0.04551325303390448,False,D7
18,ACTB,FX11-7-,RELATIVE_example4.csv,2.17950422442666,2.4330102293610163,0.23952099169092425,0.13828750902932124,False,D0
19,ACTB,FX11-7-,RELATIVE_example4.csv,2.6555303167648803,2.4330102293610163,0.23952099169092425,0.13828750902932124,False,D0
20,ACTB,FX11-7-,RELATIVE_example4.csv,2.463996146891509,2.4330102293610163,0.23952099169092425,0.13828750902932124,False,D0
21,ACTB,FX11-7-,RELATIVE_example4.csv,2.9876269142246863,3.55032892688043,0.6154643886204562,0.3553385304466488,False,D7
22,ACTB,FX11-7-,RELATIVE_example4.csv,3.4557527496011122,3.55032892688043,0.6154643886204562,0.3553385304466488,False,D7
23,ACTB,FX11-7-,RELATIVE_example4.csv,4.207607116815491,3.55032892688043,0.6154643886204562,0.3553385304466488,False,D7
24,CAMK2A,AiW002-2-,RELATIVE_example4.csv,0.011754307315662713,0.012328408112569878,0.0004978774625895289,0.0002874496870495124,False,D0
25,CAMK2A,AiW002-2-,RELATIVE_example4.csv,0.012589225440339545,0.012328408112569878,0.0004978774625895289,0.0002874496870495124,False,D0
26,CAMK2A,AiW002-2-,RELATIVE_example4.csv,0.012641691581707373,0.012328408112569878,0.0004978774625895289,0.0002874496870495124,False,D0
27,CAMK2A,AiW002-2-,RELATIVE_example4.csv,0.017552658105157347,0.0182943419499116,0.0006999523308374377,0.0004041176666289007,False,D7
28,CAMK2A,AiW002-2-,RELATIVE_example4.csv,0.018387043491783356,0.0182943419499116,0.0006999523308374377,0.0004041176666289007,False,D7
29,CAMK2A,AiW002-2-,RELATIVE_example4.csv,0.0189433242527941,0.0182943419499116,0.0006999523308374377,0.0004041176666289007,False,D7
30,CAMK2A,KYOU-,RELATIVE_example4.csv,0.001128926022985251,0.0010680594360197157,0.00012004492852326886,6.930797179775866e-05,False,D0
31,CAMK2A,KYOU-,RELATIVE_example4.csv,0.001145478953383638,0.0010680594360197157,0.00012004492852326886,6.930797179775866e-05,False,D0
32,CAMK2A,KYOU-,RELATIVE_example4.csv,0.0009297733316902578,0.0010680594360197157,0.00012004492852326886,6.930797179775866e-05,False,D0
33,CAMK2A,KYOU-,RELATIVE_example4.csv,0.01255001878055741,0.012273772263553452,0.0007611338223630931,0.0004394408172306606,False,D7
34,CAMK2A,KYOU-,RELATIVE_example4.csv,0.01141309063929308,0.012273772263553452,0.0007611338223630931,0.0004394408172306606,False,D7
35,CAMK2A,KYOU-,RELATIVE_example4.csv,0.012858207370809864,0.012273772263553452,0.0007611338223630931,0.0004394408172306606,False,D7
36,CAMK2A,FX8-1-,RELATIVE_example4.csv,0.0003280416607150188,0.0003257213196689586,9.657389949982726e-06,5.575696687291713e-06,False,D0
37,CAMK2A,FX8-1-,RELATIVE_example4.csv,0.00031511513444561684,0.0003257213196689586,9.657389949982726e-06,5.575696687291713e-06,False,D0
38,CAMK2A,FX8-1-,RELATIVE_example4.csv,0.0003340071638462401,0.0003257213196689586,9.657389949982726e-06,5.575696687291713e-06,False,D0
