,,,rq,rq,rqSD,rqSEM
,,,size,mean,mean,mean
Target Name,Sample Name,filename,,,,
ACTB,AiW002-2-D0,RELATIVE_example4.csv,3.0,2.836701019428683,0.14292242067857747,0.08251629805200963
ACTB,AiW002-2-D7,RELATIVE_example4.csv,3.0,2.9401816350862844,0.13750788098695704,0.07939021210351467
ACTB,KYOU-D0,RELATIVE_example4.csv,3.0,2.142517870587071,0.36928922104985046,0.21320923118195842
ACTB,KYOU-D7,RELATIVE_example4.csv,3.0,2.4513051246306836,0.409149278755445,0.23622244622819744
ACTB,FX8-1-D0,RELATIVE_example4.csv,3.0,2.453756222768842,0.4448520275658405,0.2568354378646889
ACTB,FX8-1-D7,RELATIVE_example4.csv,3.0,2.3792759335653257,0.0788312666724609,0.04551325303390449
ACTB,FX11-7-D0,RELATIVE_example4.csv,3.0,2.4330102293610163,0.23952099169092425,0.13828750902932124
ACTB,FX11-7-D7,RELATIVE_example4.csv,3.0,3.55032892688043,0.6154643886204562,0.3553385304466488
CAMK2A,AiW002-2-D0,RELATIVE_example4.csv,3.0,0.012328408112569878,0.0004978774625895289,0.0002874496870495124
CAMK2A,AiW002-2-D7,RELATIVE_example4.csv,3.0,0.0182943419499116,0.0006999523308374378,0.00040411766662890063
CAMK2A,KYOU-D0,RELATIVE_example4.csv,3.0,0.0010680594360197157,0.00012004492852326887,6.930797179775866e-05
CAMK2A,KYOU-D7,RELATIVE_example4.csv,3.0,0.012273772263553452,0.0007611338223630931,0.0004394408172306606
CAMK2A,FX8-1-D0,RELATIVE_example4.csv,3.0,0.0003257213196689586,9.657389949982726e-06,5.575696687291713e-06
CAMK2A,FX8-1-D7,RELATIVE_example4.csv,3.0,0.008297033744084902,0.00040727261316025437,0.00023513895284163523
CAMK2A,FX11-7-D0,RELATIVE_example4.csv,3.0,0.00279413928640046,0.000565728921349782,0.00032662374502965327
CAMK2A,FX11-7-D7,RELATIVE_example4.csv,2.0,0.012391421509015949,0.004726667951072234,0.003342258960620301
GAPDH,AiW002-2-D0,RELATIVE_example4.csv,3.0,0.354708022673728,0.04427148557401264,0.02556015411358083
GAPDH,AiW002-2-D7,RELATIVE_example4.csv,3.0,0.34187889711583036,0.040142475982054095,0.02317626931417702
GAPDH,KYOU-D0,RELATIVE_example4.csv,3.0,0.47154406395945214,0.021279222489588495,0.012285564832509857
GAPDH,KYOU-D7,RELATIVE_example4.csv,3.0,0.41376328999427087,0.05099640306071865,0.029442787034808567
GAPDH,FX8-1-D0,RELATIVE_example4.csv,3.0,0.41452962718466796,0.052030318148054845,0.03003971818880134
GAPDH,FX8-1-D7,RELATIVE_example4.csv,3.0,0.4251563844737765,0.07898741719239816,0.045603406578624356
GAPDH,FX11-7-D0,RELATIVE_example4.csv,3.0,0.4141595355948832,0.048179406574733095,0.02781639335531858
GAPDH,FX11-7-D7,RELATIVE_example4.csv,3.0,0.284756243922538,0.015550437935933128,0.00897804952832756
GRIN1,AiW002-2-D0,RELATIVE_example4.csv,3.0,0.0024734172454726156,0.00028063934438456146,0.00016202720102562665
GRIN1,AiW002-2-D7,RELATIVE_example4.csv,3.0,0.00858009999808721,0.0010042500165918355,0.0005798040174129824
GRIN1,KYOU-D0,RELATIVE_example4.csv,2.0,4.8728592611428284e-05,1.0194461051982988e-05,7.208572540399316e-06
GRIN1,KYOU-D7,RELATIVE_example4.csv,3.0,0.0035809470794164466,0.00019211519281153432,0.0001109177582851562
GRIN1,FX8-1-D0,RELATIVE_example4.csv,3.0,7.463954154016002e-05,1.2380997114096998e-06,7.148172016659882e-07
GRIN1,FX8-1-D7,RELATIVE_example4.csv,3.0,0.005446783444735384,0.0007138780053444435,0.00041215765855416754
GRIN1,FX11-7-D0,RELATIVE_example4.csv,3.0,0.0011550361011289203,0.00011333816707349307,6.543582126934001e-05
GRIN1,FX11-7-D7,RELATIVE_example4.csv,2.0,0.0027433884848999095,0.00038596805461532034,0.00027292062873987273
NEUN,AiW002-2-D0,RELATIVE_example4.csv,3.0,0.0035069601993238356,0.00021494102245854163,0.00012409625717633242
NEUN,AiW002-2-D7,RELATIVE_example4.csv,3.0,0.0025541584384683527,0.00044051873919354333,0.0002543336126564668
NEUN,KYOU-D0,RELATIVE_example4.csv,3.0,0.00015478251463985784,4.266218630643584e-06,2.46310247482387e-06
NEUN,KYOU-D7,RELATIVE_example4.csv,3.0,0.00531084566974246,0.0003994040328259253,0.00023059602586747015
