Target Name,pvalue,statistic
NEUN,0.056175598845231926,2.0
ACTB,0.23524321102939483,5.0
GAPDH,0.156160710838108,4.0
GRIN1,0.015191410988288745,0.0
CAMK2A,0.056175598845231926,2.0
