,Target Name,Sample Name,rq,rqMean,rqSD,rqSEM,Outliers,Indel
0,CHR1,GM25953,0.9280878855345451,0.9582023259977883,0.027624211302456018,0.015948845831624085,False,Normal
1,CHR1,GM25953,0.9641525485478426,0.9582023259977883,0.027624211302456018,0.015948845831624085,False,Normal
2,CHR1,GM25953,0.9823665439109773,0.9582023259977883,0.027624211302456018,0.015948845831624085,False,Normal
3,CHR1,GM25975,1.0243201274869256,1.008784038282803,0.03590854652825291,0.020731809004295023,False,Normal
4,CHR1,GM25975,1.0343085778843277,1.008784038282803,0.03590854652825291,0.020731809004295023,False,Normal
5,CHR1,GM25975,0.9677234094771557,1.008784038282803,0.03590854652825291,0.020731809004295023,False,Normal
6,CHR1,GM25974,1.0352649238413771,1.026251392771944,0.010539861155524664,0.006085191675363445,False,Normal
7,CHR1,GM25974,1.028826707893575,1.026251392771944,0.010539861155524664,0.006085191675363445,False,Normal
8,CHR1,GM25974,1.01466254658088,1.026251392771944,0.010539861155524664,0.006085191675363445,False,Normal
9,CHR1,GM25952,1.016539775596761,0.962424229965077,0.05772366011273881,0.03332677070470021,False,Normal
10,CHR1,GM25952,0.9690658893039443,0.962424229965077,0.05772366011273881,0.03332677070470021,False,Normal
11,CHR1,GM25952,0.9016670249945259,0.962424229965077,0.05772366011273881,0.03332677070470021,False,Normal
12,CHR1,Normal,1.0374199365656112,1.0003426766195325,0.03225555261684496,0.018622751986195573,False,Normal
13,CHR1,Normal,0.9787416503974358,1.0003426766195325,0.03225555261684496,0.018622751986195573,False,Normal
14,CHR1,Normal,0.9848664428955508,1.0003426766195325,0.03225555261684496,0.018622751986195573,False,Normal
15,CHR4,GM25953,1.0027764359010811,1.0000121581923656,0.0060328346895962585,0.0034830587320149125,False,Normal
16,CHR4,GM25953,1.0041675432389783,1.0000121581923656,0.0060328346895962585,0.0034830587320149125,False,Normal
17,CHR4,GM25953,0.9930924954370373,1.0000121581923656,0.0060328346895962585,0.0034830587320149125,False,Normal
18,CHR4,GM25975,1.0134910392613672,1.0000475417491426,0.01196372259076944,0.006907258458290743,False,Normal
19,CHR4,GM25975,0.9905717161589541,1.0000475417491426,0.01196372259076944,0.006907258458290743,False,Normal
20,CHR4,GM25975,0.9960798698271064,1.0000475417491426,0.01196372259076944,0.006907258458290743,False,Normal
21,CHR4,GM25974,0.9812323248540932,1.0000896182656265,0.016345879561820542,0.009437297965158293,False,Normal
22,CHR4,GM25974,1.0088185203443696,1.0000896182656265,0.016345879561820542,0.009437297965158293,False,Normal
23,CHR4,GM25974,1.0102180095984168,1.0000896182656265,0.016345879561820542,0.009437297965158293,False,Normal
24,CHR4,GM25952,1.0043995820112492,1.0001950322593982,0.02413962502547556,0.013937019006594942,False,Normal
25,CHR4,GM25952,0.9742293373140709,1.0001950322593982,0.02413962502547556,0.013937019006594942,False,Normal
26,CHR4,GM25952,1.0219561774528743,1.0001950322593982,0.02413962502547556,0.013937019006594942,False,Normal
27,CHR4,Normal,0.989428023588551,1.0000991943004403,0.017307924174657967,0.00999273468135241,False,Normal
28,CHR4,Normal,0.9908006132652303,1.0000991943004403,0.017307924174657967,0.00999273468135241,False,Normal
29,CHR4,Normal,1.0200689460475394,1.0000991943004403,0.017307924174657967,0.00999273468135241,False,Normal
30,CHR8,GM25953,0.9876008614453728,1.0263838035462036,0.03519310900581898,0.02031875095812943,False,Normal
31,CHR8,GM25953,1.0562856253518587,1.0263838035462036,0.03519310900581898,0.02031875095812943,False,Normal
32,CHR8,GM25953,1.035264923841379,1.0263838035462036,0.03519310900581898,0.02031875095812943,False,Normal
33,CHR8,GM25975,1.0092848012118765,1.0273492851037878,0.05296748911573841,0.030580794099270146,False,Normal
34,CHR8,GM25975,0.9857770734955843,1.0273492851037878,0.05296748911573841,0.030580794099270146,False,Normal
35,CHR8,GM25975,1.0869859806039022,1.0273492851037878,0.05296748911573841,0.030580794099270146,False,Normal
36,CHR8,GM25974,1.0970784293538998,1.1019157708318097,0.005939223624699306,0.0034290123584975294,False,Normal
37,CHR8,GM25974,1.1001243972914543,1.1019157708318097,0.005939223624699306,0.0034290123584975294,False,Normal
38,CHR8,GM25974,1.1085444858500753,1.1019157708318097,0.005939223624699306,0.0034290123584975294,False,Normal
39,CHR8,GM25952,1.0390991584483416,1.006751496285774,0.02822347220704139,0.01629482927620127,False,Normal
40,CHR8,GM25952,0.9940107320380848,1.006751496285774,0.02822347220704139,0.01629482927620127,False,Normal
41,CHR8,GM25952,0.9871445983708953,1.006751496285774,0.02822347220704139,0.01629482927620127,False,Normal
42,CHR8,Normal,0.9901140805752324,1.0000266075124413,0.008924010802691461,0.005152280039185044,False,Normal
43,CHR8,Normal,1.0074209698502234,1.0000266075124413,0.008924010802691461,0.005152280039185044,False,Normal
44,CHR8,Normal,1.0025447721118679,1.0000266075124413,0.008924010802691461,0.005152280039185044,False,Normal
45,CHR10,GM25953,0.9302347030175483,0.9131451109200023,0.039535347008973695,0.02282574323813623,False,Normal
46,CHR10,GM25953,0.9412609619546427,0.9131451109200023,0.039535347008973695,0.02282574323813623,False,Normal
47,CHR10,GM25953,0.867939667787816,0.9131451109200023,0.039535347008973695,0.02282574323813623,False,Normal
48,CHR10,GM25975,0.980779003988553,0.997654262587664,0.024109638298046694,0.01391970616144177,False,Normal
49,CHR10,GM25975,1.0252672378885956,0.997654262587664,0.024109638298046694,0.01391970616144177,False,Normal
50,CHR10,GM25975,0.9869165458858438,0.997654262587664,0.024109638298046694,0.01391970616144177,False,Normal
