,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Group
0,GRIA1,NCRM1-,0.26594679322506204,0.24426350851221312,0.020105637418682983,0.011607995175905633,False,IPSC
1,GRIA1,NCRM1-,0.24060608699438318,0.24426350851221312,0.020105637418682983,0.011607995175905633,False,IPSC
2,GRIA1,NCRM1-,0.2262376453171942,0.24426350851221312,0.020105637418682983,0.011607995175905633,False,IPSC
3,GRIA1,522-266-2-,0.26390093308820983,0.27375212459676024,0.010952399804011706,0.006323370975118563,False,IPSC
4,GRIA1,522-266-2-,0.2718096361302855,0.27375212459676024,0.010952399804011706,0.006323370975118563,False,IPSC
5,GRIA1,522-266-2-,0.28554580457178536,0.27375212459676024,0.010952399804011706,0.006323370975118563,False,IPSC
6,GRIA1,AiW001-2-,0.18039647577092513,0.16391336270190895,0.024294648284073166,0.014026521726676924,False,IPSC
7,GRIA1,AiW001-2-,0.13601321585903084,0.16391336270190895,0.024294648284073166,0.014026521726676924,False,IPSC
8,GRIA1,AiW001-2-,0.17533039647577092,0.16391336270190895,0.024294648284073166,0.014026521726676924,False,IPSC
9,GRIA1,AiW002-2-,0.30053375953680533,0.2812339796749194,0.01722438197455835,0.009944501569636202,False,IPSC
10,GRIA1,AiW002-2-,0.2757456047766956,0.2812339796749194,0.01722438197455835,0.009944501569636202,False,IPSC
11,GRIA1,AiW002-2-,0.2674225747112573,0.2812339796749194,0.01722438197455835,0.009944501569636202,False,IPSC
12,GRIA1,AJC001-5-,0.2261214258649334,0.21895129557841964,0.009288481780213595,0.005362707456169254,False,IPSC
13,GRIA1,AJC001-5-,0.2084584219883995,0.21895129557841964,0.009288481780213595,0.005362707456169254,False,IPSC
14,GRIA1,AJC001-5-,0.22227403888192596,0.21895129557841964,0.009288481780213595,0.005362707456169254,False,IPSC
15,GRIA1,AJG001C4-,0.2360636063606361,0.22450245024502458,0.015038578041301388,0.008682527080374551,False,IPSC
16,GRIA1,AJG001C4-,0.22994299429943,0.22450245024502458,0.015038578041301388,0.008682527080374551,False,IPSC
17,GRIA1,AJG001C4-,0.20750075007500757,0.22450245024502458,0.015038578041301388,0.008682527080374551,False,IPSC
18,GRIA1,NCRM1-,2.7808616982659924,2.5188060201602767,0.2653106392347118,0.15317716898103256,False,NPC
19,GRIA1,NCRM1-,2.2503560159718536,2.5188060201602767,0.2653106392347118,0.15317716898103256,False,NPC
20,GRIA1,NCRM1-,2.5252003462429844,2.5188060201602767,0.2653106392347118,0.15317716898103256,False,NPC
21,GRIA1,522-266-2-,0.3368532579904644,0.3361704632409206,0.02483487039829518,0.014338419109745192,False,NPC
22,GRIA1,522-266-2-,0.31100123609394315,0.3361704632409206,0.02483487039829518,0.014338419109745192,False,NPC
23,GRIA1,522-266-2-,0.3606568956383542,0.3361704632409206,0.02483487039829518,0.014338419109745192,False,NPC
24,GRIA1,AiW001-2-,1.5761913912375098,1.677908019472201,0.10038318373353082,0.057956258150665685,False,NPC
25,GRIA1,AiW001-2-,1.680630284396618,1.677908019472201,0.10038318373353082,0.057956258150665685,False,NPC
26,GRIA1,AiW001-2-,1.776902382782475,1.677908019472201,0.10038318373353082,0.057956258150665685,False,NPC
27,GRIA1,AiW002-2-,3.299746356990103,2.9812503108370225,0.27621823529322076,0.1594746725016244,False,NPC
28,GRIA1,AiW002-2-,2.8367235291192126,2.9812503108370225,0.27621823529322076,0.1594746725016244,False,NPC
29,GRIA1,AiW002-2-,2.807281046401751,2.9812503108370225,0.27621823529322076,0.1594746725016244,False,NPC
30,GRIA1,AJC001-5-,0.4784043191361727,0.49672565486902615,0.018333846011979245,0.010585050930297364,False,NPC
31,GRIA1,AJC001-5-,0.4967006598680263,0.49672565486902615,0.018333846011979245,0.010585050930297364,False,NPC
32,GRIA1,AJC001-5-,0.5150719856028794,0.49672565486902615,0.018333846011979245,0.010585050930297364,False,NPC
33,GRIA1,AJG001C4-,0.4216568414520632,0.3982702451132485,0.023622737492108994,0.013638593850064993,False,NPC
34,GRIA1,AJG001C4-,0.37441824387216877,0.3982702451132485,0.023622737492108994,0.013638593850064993,False,NPC
35,GRIA1,AJG001C4-,0.3987356500155135,0.3982702451132485,0.023622737492108994,0.013638593850064993,False,NPC
36,GRIA1,NCRM1-,6.648476523476524,6.092882117882119,0.4820272673322641,0.27829857255102236,False,DA4W
37,GRIA1,NCRM1-,5.786163836163836,6.092882117882119,0.4820272673322641,0.27829857255102236,False,DA4W
38,GRIA1,NCRM1-,5.844005994005995,6.092882117882119,0.4820272673322641,0.27829857255102236,False,DA4W
39,GRIA1,522-266-2-,1.1516696197355867,1.1990731906773886,0.06981311441016261,0.04030662039767353,False,DA4W
40,GRIA1,522-266-2-,1.1663077552133025,1.1990731906773886,0.06981311441016261,0.04030662039767353,False,DA4W
41,GRIA1,522-266-2-,1.2792421970832764,1.1990731906773886,0.06981311441016261,0.04030662039767353,False,DA4W
42,GRIA1,AiW001-2-,3.654338299737073,3.5335475703573866,0.28585231357854385,0.1650369101930496,False,DA4W
43,GRIA1,AiW001-2-,3.2071282500730356,3.5335475703573866,0.28585231357854385,0.1650369101930496,False,DA4W
44,GRIA1,AiW001-2-,3.7391761612620513,3.5335475703573866,0.28585231357854385,0.1650369101930496,False,DA4W
45,GRIA1,AiW002-2-,2.5249473969292304,2.5968625653632214,0.17029400124625832,0.09831928746090571,False,DA4W
46,GRIA1,AiW002-2-,2.7913168475656756,2.5968625653632214,0.17029400124625832,0.09831928746090571,False,DA4W
