Target Name,Source,DF,F,MS,SS,p-value,p-value corrected,measures,distribution,test,statistic,effect size
B2M,Group,5,1.1,0.0,0.0,0.3885373721666619,0.7770747443333238,independent,parametric,ANOVA,NA,0.2
NRXN3,Group,5,6.792,0.719,3.593,0.0005720532490189957,0.0011441064980379915,independent,parametric,ANOVA,NA,0.607
