,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Region,T_R
0,NRXN3,B4bisNST,0.20570969039002815,0.25637314032971453,0.044774655743094006,0.02585065954614815,False,STN,NST_Control
1,NRXN3,B4bisNST,0.272778447929232,0.25637314032971453,0.044774655743094006,0.02585065954614815,False,STN,NST_Control
2,NRXN3,B4bisNST,0.29063128266988336,0.25637314032971453,0.044774655743094006,0.02585065954614815,False,STN,NST_Control
3,NRXN3,B6NST,,,,,True,STN,NST_Control
4,NRXN3,B6NST,0.19136583550427985,0.19326386304428728,0.0026842162888361613,0.001898027540007438,False,STN,NST_Control
5,NRXN3,B6NST,0.19516189058429473,0.19326386304428728,0.0026842162888361613,0.001898027540007438,False,STN,NST_Control
6,NRXN3,R6 NST,0.2872709739633559,0.3289778206364513,0.036433240271248744,0.021034741078055776,False,STN,NST_Control
7,NRXN3,R6 NST,0.35460462873674065,0.3289778206364513,0.036433240271248744,0.021034741078055776,False,STN,NST_Control
8,NRXN3,R6 NST,0.3450578592092575,0.3289778206364513,0.036433240271248744,0.021034741078055776,False,STN,NST_Control
9,NRXN3,V3 NST,0.2377344656931631,0.2845359564978311,0.04664949464652364,0.02693309829173043,False,STN,NST_Control
10,NRXN3,V3 NST,0.28484144925765265,0.2845359564978311,0.04664949464652364,0.02693309829173043,False,STN,NST_Control
11,NRXN3,V3 NST,0.33103195454267736,0.2845359564978311,0.04664949464652364,0.02693309829173043,False,STN,NST_Control
12,NRXN3,V4 NST,,,,,True,STN,NST_Control
13,NRXN3,V4 NST,0.31399443929564413,0.32590361445783134,0.016842117031041947,0.011909175162187202,False,STN,NST_Control
14,NRXN3,V4 NST,0.33781278962001854,0.32590361445783134,0.016842117031041947,0.011909175162187202,False,STN,NST_Control
15,NRXN3,R5bis NST,0.47783811087258493,0.4115839542029717,0.0813791990642156,0.04698430248616102,False,STN,NST_Cocaine
16,NRXN3,R5bis NST,0.43616618259881296,0.4115839542029717,0.0813791990642156,0.04698430248616102,False,STN,NST_Cocaine
17,NRXN3,R5bis NST,0.32074756913751734,0.4115839542029717,0.0813791990642156,0.04698430248616102,False,STN,NST_Cocaine
18,NRXN3,R6bisNST,,,,,True,STN,NST_Cocaine
19,NRXN3,R6bisNST,0.168754698070659,0.17078426459533952,0.002870240504941617,0.002029566524680518,False,STN,NST_Cocaine
20,NRXN3,R6bisNST,0.17281383112002002,0.17078426459533952,0.002870240504941617,0.002029566524680518,False,STN,NST_Cocaine
21,NRXN3,R8bisNST,0.3881841876629018,0.42528236316246737,0.05246474293078294,0.037098175499565594,False,STN,NST_Cocaine
22,NRXN3,R8bisNST,0.462380538662033,0.42528236316246737,0.05246474293078294,0.037098175499565594,False,STN,NST_Cocaine
23,NRXN3,R8bisNST,,,,,True,STN,NST_Cocaine
24,NRXN3,V2NST,0.2102100857746654,0.1986802303899225,0.01630567785730386,0.011529855384742894,False,STN,NST_Cocaine
25,NRXN3,V2NST,0.18715037500517961,0.1986802303899225,0.01630567785730386,0.011529855384742894,False,STN,NST_Cocaine
26,NRXN3,V2NST,,,,,True,STN,NST_Cocaine
27,NRXN3,V8NST,0.2564666103127642,0.18178360101437027,0.10561772462862463,0.0746830092983939,False,STN,NST_Cocaine
28,NRXN3,V8NST,0.10710059171597636,0.18178360101437027,0.10561772462862463,0.0746830092983939,False,STN,NST_Cocaine
29,NRXN3,V8NST,,,,,True,STN,NST_Cocaine
30,NRXN3,B4bisGP,,,,,True,GP,GP_Control
31,NRXN3,B4bisGP,0.23269118505545824,0.2541155866900175,0.030298679357321976,0.021424401634559234,False,GP,GP_Control
32,NRXN3,B4bisGP,0.2755399883245767,0.2541155866900175,0.030298679357321976,0.021424401634559234,False,GP,GP_Control
33,NRXN3,R6 GP,0.738731040375988,0.7106743573310546,0.060821554368157685,0.035115340786987304,False,GP,GP_Control
34,NRXN3,R6 GP,0.7524033326212347,0.7106743573310546,0.060821554368157685,0.035115340786987304,False,GP,GP_Control
35,NRXN3,R6 GP,0.640888698995941,0.7106743573310546,0.060821554368157685,0.035115340786987304,False,GP,GP_Control
36,NRXN3,V3 GP,,,,,True,GP,GP_Control
37,NRXN3,V3 GP,0.4426587073814717,0.41246699575249685,0.04269752805695377,0.03019171162897488,False,GP,GP_Control
38,NRXN3,V3 GP,0.38227528412352196,0.41246699575249685,0.04269752805695377,0.03019171162897488,False,GP,GP_Control
39,NRXN3,V4 GP,,,,,True,GP,GP_Control
40,NRXN3,V4 GP,0.2618556701030928,0.2990979381443299,0.052668520557451574,0.037242268041237085,False,GP,GP_Control
41,NRXN3,V4 GP,0.336340206185567,0.2990979381443299,0.052668520557451574,0.037242268041237085,False,GP,GP_Control
42,NRXN3,R5bis GP,0.375858330321648,0.49879532586435377,0.10943091608286665,0.0631799688581104,False,GP,GP_Cocaine
43,NRXN3,R5bis GP,0.5349656667871341,0.49879532586435377,0.10943091608286665,0.0631799688581104,False,GP,GP_Cocaine
44,NRXN3,R5bis GP,0.585561980484279,0.49879532586435377,0.10943091608286665,0.0631799688581104,False,GP,GP_Cocaine
45,NRXN3,R6bisGP,0.9877272021127855,0.9499766972192016,0.05338727600693823,0.03775050489358389,False,GP,GP_Cocaine
46,NRXN3,R6bisGP,0.9122261923256177,0.9499766972192016,0.05338727600693823,0.03775050489358389,False,GP,GP_Cocaine
47,NRXN3,R6bisGP,,,,,True,GP,GP_Cocaine
48,NRXN3,R8bisGP,1.0159974621589776,1.0168811746578448,0.0012497582011364646,0.0008837124988670952,False,GP,GP_Cocaine
