,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Region
0,B2M,B4bisNST,0.9714515480498592,1.0,0.04037360793264563,0.02854845195014071,False,NST
1,B2M,B4bisNST,,,,,True,NST
2,B2M,B4bisNST,1.0285484519501407,1.0,0.04037360793264563,0.02854845195014071,False,NST
3,B2M,B6NST,,,,,True,NST
4,B2M,B6NST,1.0405656866393747,1.0,0.05736854421238077,0.0405656866393747,False,NST
5,B2M,B6NST,0.9594343133606252,1.0,0.05736854421238077,0.0405656866393747,False,NST
6,B2M,R6 NST,0.8461909353905497,1.0000000000000002,0.1495487316710766,0.08634200048726319,False,NST
7,B2M,R6 NST,1.008919961427194,1.0000000000000002,0.1495487316710766,0.08634200048726319,False,NST
8,B2M,R6 NST,1.1448891031822568,1.0000000000000002,0.1495487316710766,0.08634200048726319,False,NST
9,B2M,V3 NST,0.8636891305676055,1.0,0.152823992013144,0.08823297292742191,False,NST
10,B2M,V3 NST,1.1652104845115172,1.0,0.152823992013144,0.08823297292742191,False,NST
11,B2M,V3 NST,0.9711003849208775,1.0,0.152823992013144,0.08823297292742191,False,NST
12,B2M,V4 NST,,,,,True,NST
13,B2M,V4 NST,1.0,1.0,0.0,0.0,False,NST
14,B2M,V4 NST,1.0,1.0,0.0,0.0,False,NST
15,B2M,R5bis NST,,,,,True,NST
16,B2M,R5bis NST,0.8304078797828007,0.9999999999999999,0.23983947648277143,0.16959212021719916,False,NST
17,B2M,R5bis NST,1.169592120217199,0.9999999999999999,0.23983947648277143,0.16959212021719916,False,NST
18,B2M,R6bisNST,1.0779253319969933,1.0,0.08866240637351512,0.05118926418674895,False,NST
19,B2M,R6bisNST,0.9035329491355549,1.0,0.08866240637351512,0.05118926418674895,False,NST
20,B2M,R6bisNST,1.0185417188674517,1.0,0.08866240637351512,0.05118926418674895,False,NST
21,B2M,R8bisNST,0.9322328410078192,1.0,0.09583723533023582,0.06776715899218072,False,NST
22,B2M,R8bisNST,1.0677671589921807,1.0,0.09583723533023582,0.06776715899218072,False,NST
23,B2M,R8bisNST,,,,,True,NST
24,B2M,V2NST,1.0479426511415904,1.0,0.37319897581590544,0.21546652914860565,False,NST
25,B2M,V2NST,0.6051464799237559,1.0,0.37319897581590544,0.21546652914860565,False,NST
26,B2M,V2NST,1.3469108689346536,1.0,0.37319897581590544,0.21546652914860565,False,NST
27,B2M,V8NST,1.125105663567202,1.0,0.17692612614642272,0.12510566356720204,False,NST
28,B2M,V8NST,0.874894336432798,1.0,0.17692612614642272,0.12510566356720204,False,NST
29,B2M,V8NST,,,,,True,NST
30,B2M,B4bisGP,,,,,True,GP
31,B2M,B4bisGP,0.9889083479276123,1.0,0.015685964789894275,0.011091652072387659,False,GP
32,B2M,B4bisGP,1.0110916520723876,1.0,0.015685964789894275,0.011091652072387659,False,GP
33,B2M,R6 GP,,,,,True,GP
34,B2M,R6 GP,1.0784020508438368,1.0,0.11087724362121894,0.07840205084383678,False,GP
35,B2M,R6 GP,0.9215979491561632,1.0,0.11087724362121894,0.07840205084383678,False,GP
36,B2M,V3 GP,,,,,True,GP
37,B2M,V3 GP,0.984731948111583,1.0,0.021592286051615405,0.015268051888416956,False,GP
38,B2M,V3 GP,1.015268051888417,1.0,0.021592286051615405,0.015268051888416956,False,GP
39,B2M,V4 GP,,,,,True,GP
40,B2M,V4 GP,0.9747422680412371,1.0,0.03571982709086694,0.02525773195876296,False,GP
41,B2M,V4 GP,1.025257731958763,1.0,0.03571982709086694,0.02525773195876296,False,GP
42,B2M,R5bis GP,1.1863028550777017,1.0,0.21264023051880515,0.12276789433057624,False,GP
43,B2M,R5bis GP,0.7683411637152151,1.0,0.21264023051880515,0.12276789433057624,False,GP
