,Target Name,Sample Name,rq,rqMean,rqSD,rqSEM,Outliers,Group
5,PAX6,AiW002-2-,0.3469580952676535,0.32810718193695454,0.017789497937151105,0.010270771422762483,False,D7
6,PAX6,KYOU-,5.69685887131894,5.388685899076273,0.29477363412778046,0.1701876370136783,False,D0
7,PAX6,KYOU-,5.10944526895148,5.388685899076273,0.29477363412778046,0.1701876370136783,False,D0
8,PAX6,KYOU-,5.359753556958398,5.388685899076273,0.29477363412778046,0.1701876370136783,False,D0
9,PAX6,KYOU-,0.9118278209544013,0.9465499883276524,0.03290530477873333,0.018997886571768367,False,D7
10,PAX6,KYOU-,0.9505492831273332,0.9465499883276524,0.03290530477873333,0.018997886571768367,False,D7
11,PAX6,KYOU-,0.9772728609012228,0.9465499883276524,0.03290530477873333,0.018997886571768367,False,D7
12,CAMK2A,AiW002-2-,1.0259781453371417,1.0005525928663335,0.04040688640212643,0.023328926741382327,False,D0
13,CAMK2A,AiW002-2-,1.0217200827143,1.0005525928663335,0.04040688640212643,0.023328926741382327,False,D0
14,CAMK2A,AiW002-2-,0.953959550547559,1.0005525928663335,0.04040688640212643,0.023328926741382327,False,D0
15,CAMK2A,AiW002-2-,1.4245438193196338,1.4847376162137607,0.05680693834171294,0.03279750114342644,False,D7
16,CAMK2A,AiW002-2-,1.4922611153740393,1.4847376162137607,0.05680693834171294,0.03279750114342644,False,D7
17,CAMK2A,AiW002-2-,1.5374079139476091,1.4847376162137607,0.05680693834171294,0.03279750114342644,False,D7
18,CAMK2A,KYOU-,0.09296511978000248,0.08668188368580203,0.009742641823476507,0.005624916879402268,False,D0
19,CAMK2A,KYOU-,0.0754588191197328,0.08668188368580203,0.009742641823476507,0.005624916879402268,False,D0
20,CAMK2A,KYOU-,0.0916217121576708,0.08668188368580203,0.009742641823476507,0.005624916879402268,False,D0
21,CAMK2A,KYOU-,1.0435501978036816,0.9961184404682552,0.06177232393103413,0.03566426785005132,False,D7
22,CAMK2A,KYOU-,1.0185381370207074,0.9961184404682552,0.06177232393103413,0.03566426785005132,False,D7
23,CAMK2A,KYOU-,0.9262669865803768,0.9961184404682552,0.06177232393103413,0.03566426785005132,False,D7
24,GRIN1,AiW002-2-,0.9085681683738829,1.0042056031384583,0.11393936975572054,0.06578292579976157,False,D0
25,GRIN1,AiW002-2-,1.1302693892731568,1.0042056031384583,0.11393936975572054,0.06578292579976157,False,D0
26,GRIN1,AiW002-2-,0.9737792517683352,1.0042056031384583,0.11393936975572054,0.06578292579976157,False,D0
27,GRIN1,AiW002-2-,3.523884568102921,3.483514360279756,0.40772477650478806,0.2354000094703194,False,D7
28,GRIN1,AiW002-2-,3.869552320848903,3.483514360279756,0.40772477650478806,0.2354000094703194,False,D7
29,GRIN1,AiW002-2-,3.0571061918874434,3.483514360279756,0.40772477650478806,0.2354000094703194,False,D7
30,GRIN1,KYOU-,0.016857097957923235,0.01978377316767574,0.0041389437742931105,0.0029266752097525015,False,D0
31,GRIN1,KYOU-,0.02271044837742824,0.01978377316767574,0.0041389437742931105,0.0029266752097525015,False,D0
32,GRIN1,KYOU-,1.5296129754963355,1.4538619103891532,0.07799862858662356,0.04503252921090875,False,D7
33,GRIN1,KYOU-,1.3737949312765778,1.4538619103891532,0.07799862858662356,0.04503252921090875,False,D7
34,GRIN1,KYOU-,1.4581778243945462,1.4538619103891532,0.07799862858662356,0.04503252921090875,False,D7
35,ACTB,AiW002-2-,1.0543349982612402,1.000841905923127,0.05042573994629273,0.029113314532078174,False,D0
36,ACTB,AiW002-2-,0.9541799874700604,1.000841905923127,0.05042573994629273,0.029113314532078174,False,D0
37,ACTB,AiW002-2-,0.9940107320380807,1.000841905923127,0.05042573994629273,0.029113314532078174,False,D0
38,GAPDH,AiW002-2-,1.1190956371625225,1.0053541958657541,0.1254793264712375,0.07244552291590191,False,D0
39,GAPDH,AiW002-2-,1.0262152240107407,1.0053541958657541,0.1254793264712375,0.07244552291590191,False,D0
40,GAPDH,AiW002-2-,0.8707517264239988,1.0053541958657541,0.1254793264712375,0.07244552291590191,False,D0
41,ACTB,AiW002-2-,1.0664625711276385,1.037351829207785,0.048515387678802396,0.02801037213619562,False,D7
42,ACTB,AiW002-2-,0.9813456878053048,1.037351829207785,0.048515387678802396,0.02801037213619562,False,D7
43,ACTB,AiW002-2-,1.0642472286904114,1.037351829207785,0.048515387678802396,0.02801037213619562,False,D7
44,GAPDH,AiW002-2-,0.9168981128623823,0.9689924155155394,0.11377641350424257,0.06568884296410463,False,D7
45,GAPDH,AiW002-2-,1.0994891240130287,0.9689924155155394,0.11377641350424257,0.06568884296410463,False,D7
46,GAPDH,AiW002-2-,0.8905900096712073,0.9689924155155394,0.11377641350424257,0.06568884296410463,False,D7
47,ACTB,KYOU-,0.7165636010784293,0.7559209287077406,0.13029223922471658,0.07522425938970924,False,D0
48,ACTB,KYOU-,0.9013545851612575,0.7559209287077406,0.13029223922471658,0.07522425938970924,False,D0
49,ACTB,KYOU-,0.6498445998835349,0.7559209287077406,0.13029223922471658,0.07522425938970924,False,D0
50,GAPDH,KYOU-,1.2942951686875723,1.3365043160393604,0.06031201508612843,0.03482115814534502,False,D0
51,GAPDH,KYOU-,1.4055810699203029,1.3365043160393604,0.06031201508612843,0.03482115814534502,False,D0
52,GAPDH,KYOU-,1.309636709510205,1.3365043160393604,0.06031201508612843,0.03482115814534502,False,D0
53,ACTB,KYOU-,0.851945668766601,0.8648669268038036,0.144355623363912,0.08334375800819083,False,D7
54,ACTB,KYOU-,0.7274063036918191,0.8648669268038036,0.144355623363912,0.08334375800819083,False,D7
55,ACTB,KYOU-,1.0152488079529907,0.8648669268038036,0.144355623363912,0.08334375800819083,False,D7
56,GAPDH,KYOU-,1.1117507156191504,1.172735413637908,0.14453985958562313,0.08345012684039023,False,D7
57,GAPDH,KYOU-,1.3377730002616386,1.172735413637908,0.14453985958562313,0.08345012684039023,False,D7
58,GAPDH,KYOU-,1.0686825250329353,1.172735413637908,0.14453985958562313,0.08345012684039023,False,D7
