Target Name,DF,tail,paired,p-val,effect size,power,Bayes factor
PAX6,1,two-sided,TRUE,0.4034152274669511,1.449,0.129,0.847
CAMK2A,1,two-sided,TRUE,0.18854570773804494,1.405,0.125,1.359
GRIN1,1,two-sided,TRUE,0.16615684361826796,1.836,0.162,1.454
ACTB,1,two-sided,TRUE,0.2941444130803755,0.493,0.062,1.045
GAPDH,1,two-sided,TRUE,0.3609070106485006,0.529,0.063,0.914
