,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,,with preserve,,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers
0,GAPDH,AiW001-2-IPSC,1.040859030837,1.15429515418502,0.099885132167758,0.057668707945097,False,,,0,GAPDH,AiW001-2-IPSC,1.040859030837,1.15429515418502,0.099885132167758,0.057668707945097,False
1,GAPDH,AiW001-2-IPSC,1.19295154185022,1.15429515418502,0.099885132167758,0.057668707945097,False,,,1,GAPDH,AiW001-2-IPSC,1.22907488986784,1.15429515418502,0.099885132167758,0.057668707945097,False
2,GAPDH,AiW001-2-IPSC,1.22907488986784,1.15429515418502,0.099885132167758,0.057668707945097,False,,,2,GAPDH,AiW001-2-IPSC,1.19295154185022,1.15429515418502,0.099885132167758,0.057668707945097,False
3,GAPDH,AiW002-2-DA4W,0.985979458761276,0.942855357180059,0.044091491488404,0.025456234479802,False,,,3,GAPDH,NCRM1-NPC,0.957473543126797,1.09493759249435,0.121030820792286,0.069877176964668,False
4,GAPDH,AiW002-2-DA4W,0.944730318118372,0.942855357180059,0.044091491488404,0.025456234479802,False,,,4,GAPDH,NCRM1-NPC,1.14184793231508,1.09493759249435,0.121030820792286,0.069877176964668,False
5,GAPDH,AiW002-2-DA4W,0.897856294660528,0.942855357180059,0.044091491488404,0.025456234479802,False,,,5,GAPDH,NCRM1-NPC,1.18549130204116,1.09493759249435,0.121030820792286,0.069877176964668,False
6,GAPDH,NCRM1-NPC,0.957473543126797,1.09493759249435,0.121030820792286,0.069877176964668,False,,,6,GAPDH,AJG001C4-NPC,0.915451442755197,0.91525752404592,0.04322480653941,0.024955853691198,False
7,GAPDH,NCRM1-NPC,1.14184793231508,1.09493759249435,0.121030820792286,0.069877176964668,False,,,7,GAPDH,AJG001C4-NPC,0.871936084393422,0.91525752404592,0.04322480653941,0.024955853691198,False
8,GAPDH,NCRM1-NPC,1.18549130204116,1.09493759249435,0.121030820792286,0.069877176964668,False,,,8,GAPDH,AJG001C4-NPC,0.958385044989141,0.91525752404592,0.04322480653941,0.024955853691198,False
9,GAPDH,AJG001C4-NPC,0.915451442755197,0.91525752404592,0.04322480653941,0.024955853691198,False,,,9,GAPDH,AiW002-2-DA4W,0.944730318118372,0.942855357180059,0.044091491488404,0.025456234479802,False
10,GAPDH,AJG001C4-NPC,0.871936084393422,0.91525752404592,0.04322480653941,0.024955853691198,False,,,10,GAPDH,AiW002-2-DA4W,0.897856294660528,0.942855357180059,0.044091491488404,0.025456234479802,False
11,GAPDH,AJG001C4-NPC,0.958385044989141,0.91525752404592,0.04322480653941,0.024955853691198,False,,,11,GAPDH,AiW002-2-DA4W,0.985979458761276,0.942855357180059,0.044091491488404,0.025456234479802,False
12,GAPDH,AJG001C4-DA4W,1.20159574468085,1.13882978723404,0.063290232234812,0.036540632617843,False,,,12,GAPDH,AiW002-2-NPC,0.912518028547272,0.901112382089156,0.031432679037737,0.018147665703789,False
13,GAPDH,AJG001C4-DA4W,1.13986562150056,1.13882978723404,0.063290232234812,0.036540632617843,False,,,13,GAPDH,AiW002-2-NPC,0.865569204754563,0.901112382089156,0.031432679037737,0.018147665703789,False
14,GAPDH,AJG001C4-DA4W,1.07502799552072,1.13882978723404,0.063290232234812,0.036540632617843,False,,,14,GAPDH,AiW002-2-NPC,0.925249912965634,0.901112382089156,0.031432679037737,0.018147665703789,False
15,GAPDH,AiW002-2-NPC,0.912518028547272,0.901112382089156,0.031432679037737,0.018147665703789,False,,,15,GAPDH,NCRM1-IPSC,1.11760351809117,1.22218835720817,0.118923625731446,0.068660587329057,False
16,GAPDH,AiW002-2-NPC,0.925249912965634,0.901112382089156,0.031432679037737,0.018147665703789,False,,,16,GAPDH,NCRM1-IPSC,1.19741368049811,1.22218835720817,0.118923625731446,0.068660587329057,False
17,GAPDH,AiW002-2-NPC,0.865569204754563,0.901112382089156,0.031432679037737,0.018147665703789,False,,,17,GAPDH,NCRM1-IPSC,1.35154787303522,1.22218835720817,0.118923625731446,0.068660587329057,False
18,GAPDH,NCRM1-IPSC,1.11760351809117,1.22218835720817,0.118923625731446,0.068660587329057,False,,,18,GAPDH,AJG001C4-IPSC,1.1983198319832,1.21000100010001,0.034633669834748,0.019995758602116,False
19,GAPDH,NCRM1-IPSC,1.19741368049811,1.22218835720817,0.118923625731446,0.068660587329057,False,,,19,GAPDH,AJG001C4-IPSC,1.18271827182718,1.21000100010001,0.034633669834748,0.019995758602116,False
20,GAPDH,NCRM1-IPSC,1.35154787303522,1.22218835720817,0.118923625731446,0.068660587329057,False,,,20,GAPDH,AJG001C4-IPSC,1.24896489648965,1.21000100010001,0.034633669834748,0.019995758602116,False
21,GAPDH,NCRM1-DA4W,1.17868278338481,1.12611381200774,0.074343752281446,0.052568971377063,False,,,21,GAPDH,AJG001C4-DA4W,1.20159574468085,1.13882978723404,0.063290232234812,0.036540632617843,False
22,GAPDH,NCRM1-DA4W,,,,,True,,,22,GAPDH,AJG001C4-DA4W,1.13986562150056,1.13882978723404,0.063290232234812,0.036540632617843,False
23,GAPDH,NCRM1-DA4W,1.07354484063068,1.12611381200774,0.074343752281446,0.052568971377063,False,,,23,GAPDH,AJG001C4-DA4W,1.07502799552072,1.13882978723404,0.063290232234812,0.036540632617843,False
24,GAPDH,NCRM1-DA6W,,,,,True,,,24,GAPDH,AJC001-5-NPC,,,,,True
