1,A1,FALSE,Normal,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,24.702,24.755,0.046,,,,,,TRUE,0.255,TRUE,3,19,Amp,,0.976,N,N,N,N,N,N,N,N
2,A2,FALSE,Normal,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,24.777,24.755,0.046,,,,,,TRUE,0.255,TRUE,3,19,Amp,,0.979,N,N,N,N,N,N,N,N
3,A3,FALSE,Normal,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,24.786,24.755,0.046,,,,,,TRUE,0.255,TRUE,3,18,Amp,,0.979,N,N,N,N,N,N,N,N
4,A4,FALSE,fxs,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,28.864,28.711,0.135,,,,,,TRUE,0.255,TRUE,3,23,Amp,,0.975,N,N,N,N,N,N,N,N
5,A5,FALSE,fxs,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,28.665,28.711,0.135,,,,,,TRUE,0.255,TRUE,3,23,Amp,,0.972,N,N,N,N,N,N,N,N
6,A6,FALSE,fxs,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,28.605,28.711,0.135,,,,,,TRUE,0.255,TRUE,3,23,Amp,,0.976,N,N,N,N,N,N,N,N
7,A7,FALSE,GM25953,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,27.286,27.322,0.042,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.971,N,N,N,N,N,N,N,N
8,A8,FALSE,GM25953,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,27.313,27.322,0.042,,,,,,TRUE,0.255,TRUE,3,22,Amp,,0.977,N,N,N,N,N,N,N,N
9,A9,FALSE,GM25953,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,27.368,27.322,0.042,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.971,N,N,N,N,N,N,N,N
10,A10,FALSE,GM25975,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,26.779,26.815,0.052,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.974,N,N,N,N,N,N,N,N
11,A11,FALSE,GM25975,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,26.875,26.815,0.052,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.974,N,N,N,N,N,N,N,N
12,A12,FALSE,GM25975,CHR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,26.793,26.815,0.052,,,,,,TRUE,0.255,TRUE,3,21,Amp,,0.975,N,N,N,N,N,N,N,N
