Target Name,DF,T,tail,paired,p-val,effect size,power,Bayes factor
B2M,4.0,0.0,two-sided,FALSE,1.0,0.0,0.05,0.509
NRXN3,6.49,-2.456,two-sided,FALSE,0.046346554301512057,1.652,0.564,2.041
