,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers
0,NRXN3,R6bisNST,0.168754698070659,0.21175144074166874,0.07098625010867392,0.04098393060900499,False
1,NRXN3,R6bisNST,0.29368579303432724,0.21175144074166874,0.07098625010867392,0.04098393060900499,False
2,NRXN3,R6bisGP,0.9122261923256177,0.9499766972192016,0.05338727600693823,0.03775050489358389,False
3,NRXN3,R6bisGP,0.9877272021127855,0.9499766972192016,0.05338727600693823,0.03775050489358389,False
4,NRXN3,R6bisSN,1.3117315573770492,1.1607325819672132,0.2135447989290315,0.15099897540983595,False
5,NRXN3,R8bisNST,0.462380538662033,0.42528236316246737,0.05246474293078294,0.037098175499565594,False
6,NRXN3,R6bisSN,1.0097336065573772,1.1607325819672132,0.2135447989290315,0.15099897540983595,False
7,NRXN3,R8bisNST,0.3881841876629018,0.42528236316246737,0.05246474293078294,0.037098175499565594,False
8,NRXN3,R6bisNST,0.17281383112002002,0.21175144074166874,0.07098625010867392,0.04098393060900499,False
9,NRXN3,R5bis SN,1.1159496327387197,0.965346274921301,0.4876373817716805,0.2815375736328041,False
10,NRXN3,V4 SN,0.9842777731685058,0.8939890483697006,0.12768753913984243,0.09028872479880527,False
11,NRXN3,V4 SN,0.8037003235708953,0.8939890483697006,0.12768753913984243,0.09028872479880527,False
12,NRXN3,R5bis NST,0.47783811087258493,0.4115839542029717,0.0813791990642156,0.04698430248616102,False
13,NRXN3,R5bis NST,0.43616618259881296,0.4115839542029717,0.0813791990642156,0.04698430248616102,False
14,NRXN3,R5bis NST,0.32074756913751734,0.4115839542029717,0.0813791990642156,0.04698430248616102,False
15,NRXN3,R5bis GP,0.5349656667871341,0.49879532586435366,0.10943091608286665,0.0631799688581104,False
16,NRXN3,R5bis GP,0.585561980484279,0.49879532586435366,0.10943091608286665,0.0631799688581104,False
17,NRXN3,R5bis SN,1.3599160545645328,0.965346274921301,0.4876373817716805,0.2815375736328041,False
18,NRXN3,R5bis SN,0.4201731374606505,0.965346274921301,0.4876373817716805,0.2815375736328041,False
19,NRXN3,R5bis GP,0.375858330321648,0.49879532586435366,0.10943091608286665,0.0631799688581104,False
20,NRXN3,R8bisGP,1.0177648871567118,0.8683041783739691,0.2573444237243097,0.14857787231167935,False
21,NRXN3,V2SN,1.1517671517671517,1.0196119196119195,0.14490664375873114,0.08366188978146863,False
22,NRXN3,V8NST,0.2564666103127642,0.18178360101437027,0.10561772462862463,0.0746830092983939,False
23,NRXN3,V8NST,0.10710059171597636,0.18178360101437027,0.10561772462862463,0.0746830092983939,False
24,NRXN3,V2SN,1.0424116424116423,1.0196119196119195,0.14490664375873114,0.08366188978146863,False
25,NRXN3,V8GP,0.9169529676578605,0.9486435256486199,0.044817216909702966,0.03169055799075937,False
26,NRXN3,V8GP,0.9803340836393792,0.9486435256486199,0.044817216909702966,0.03169055799075937,False
27,NRXN3,V8SN,1.704708127882933,1.4457610943216157,0.47205031929996377,0.2725383789188829,False
28,NRXN3,V8SN,0.9009066327342133,1.4457610943216157,0.47205031929996377,0.2725383789188829,False
29,NRXN3,V8SN,1.7316685223477015,1.4457610943216157,0.47205031929996377,0.2725383789188829,False
30,NRXN3,V2SN,0.8646569646569646,1.0196119196119195,0.14490664375873114,0.08366188978146863,False
31,NRXN3,R8bisGP,0.5711501858062177,0.8683041783739691,0.2573444237243097,0.14857787231167935,False
32,NRXN3,R8bisGP,1.0159974621589776,0.8683041783739691,0.2573444237243097,0.14857787231167935,False
33,NRXN3,R8bisSN,0.38772951186744287,0.43931930138826686,0.05676742773389548,0.032774689683367185,False
34,NRXN3,R8bisSN,0.5001343484102104,0.43931930138826686,0.05676742773389548,0.032774689683367185,False
35,NRXN3,R8bisSN,0.43009404388714734,0.43931930138826686,0.05676742773389548,0.032774689683367185,False
36,NRXN3,V2NST,0.15629379704126656,0.2119214464919111,0.08025198238313574,0.04633350363190453,False
37,NRXN3,V2NST,0.3039190241370361,0.2119214464919111,0.08025198238313574,0.04633350363190453,False
38,NRXN3,V2NST,0.1755515182974306,0.2119214464919111,0.08025198238313574,0.04633350363190453,False
39,NRXN3,V2GP,0.7087954604075316,0.8537529017281402,0.14652954925652345,0.08459887470748835,False
40,NRXN3,V2GP,1.0018055197317512,0.8537529017281402,0.14652954925652345,0.08459887470748835,False
41,NRXN3,V2GP,0.8506577250451379,0.8537529017281402,0.14652954925652345,0.08459887470748835,False
42,NRXN3,V4 GP,0.336340206185567,0.3779209621993127,0.141513935329255,0.08170310865642867,False
43,NRXN3,B4bisNST,0.22538205980066447,0.21182724252491694,0.03699487336647003,0.02135900009676759,False
44,NRXN3,B4bisNST,0.24013289036544852,0.21182724252491694,0.03699487336647003,0.02135900009676759,False
45,NRXN3,B4bisGP,0.23269118505545824,0.2541155866900175,0.030298679357321976,0.021424401634559234,False
46,NRXN3,B4bisSN,0.778100072516316,0.8745467730239302,0.1363962319040041,0.09644670050761421,False
47,NRXN3,B4bisSN,0.9709934735315444,0.8745467730239302,0.1363962319040041,0.09644670050761421,False
48,NRXN3,B6NST,0.19516189058429473,0.23518173923830785,0.0726286964112281,0.04193219742391415,False
49,NRXN3,B4bisGP,0.2755399883245767,0.2541155866900175,0.030298679357321976,0.021424401634559234,False
50,NRXN3,B6NST,0.19136583550427985,0.23518173923830785,0.0726286964112281,0.04193219742391415,False
51,NRXN3,B4bisNST,0.16996677740863791,0.21182724252491694,0.03699487336647003,0.02135900009676759,False
52,NRXN3,R6 NST,0.35460462873674065,0.32897782063645137,0.036433240271248744,0.021034741078055776,False
