,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Treatment
0,B2M,B4bisGP,1.0110916520723876,1.0,0.015685964789894275,0.011091652072387659,False,Control
1,B2M,B4bisGP,,,,,True,Control
2,B2M,B4bisGP,0.9889083479276123,1.0,0.015685964789894275,0.011091652072387659,False,Control
3,B2M,R6 GP,,,,,True,Control
4,B2M,R6 GP,0.9215979491561632,1.0,0.11087724362121894,0.07840205084383678,False,Control
5,B2M,R6 GP,1.0784020508438368,1.0,0.11087724362121894,0.07840205084383678,False,Control
6,B2M,V3 GP,,,,,True,Control
7,B2M,V3 GP,0.984731948111583,1.0,0.021592286051615405,0.015268051888416956,False,Control
8,B2M,V3 GP,1.015268051888417,1.0,0.021592286051615405,0.015268051888416956,False,Control
9,B2M,V4 GP,,,,,True,Control
10,B2M,V4 GP,1.025257731958763,1.0,0.03571982709086694,0.02525773195876296,False,Control
11,B2M,V4 GP,0.9747422680412371,1.0,0.03571982709086694,0.02525773195876296,False,Control
12,B2M,R5bis GP,,,,,True,Cocaine
13,B2M,R5bis GP,0.9368421052631578,1.0,0.08931875130777446,0.06315789473684212,False,Cocaine
14,B2M,R5bis GP,1.063157894736842,1.0,0.08931875130777446,0.06315789473684212,False,Cocaine
15,B2M,R6bisGP,0.03956035102090145,1.0,1.619960043271562,0.9352843670592742,False,Cocaine
16,B2M,R6bisGP,0.09009849802265386,1.0,1.619960043271562,0.9352843670592742,False,Cocaine
17,B2M,R6bisGP,2.8703411509564445,1.0,1.619960043271562,0.9352843670592742,False,Cocaine
18,B2M,R8bisGP,1.1496419831414848,1.0,0.1503034120980236,0.08677771543491318,False,Cocaine
19,B2M,R8bisGP,0.8490437777576363,1.0,0.1503034120980236,0.08677771543491318,False,Cocaine
20,B2M,R8bisGP,1.0013142391008794,1.0,0.1503034120980236,0.08677771543491318,False,Cocaine
21,B2M,V2GP,,,,,True,Cocaine
22,B2M,V2GP,1.1163270570028372,1.0,0.16451130168436057,0.11632705700283724,False,Cocaine
23,B2M,V2GP,0.8836729429971627,1.0,0.16451130168436057,0.11632705700283724,False,Cocaine
24,B2M,V8GP,3.823544547801968e-08,1.0000000000000002,1.7320507508279699,0.9999999672406219,False,Cocaine
25,B2M,V8GP,2.999999934481244,1.0000000000000002,1.7320507508279699,0.9999999672406219,False,Cocaine
26,B2M,V8GP,2.7283311176459433e-08,1.0000000000000002,1.7320507508279699,0.9999999672406219,False,Cocaine
27,NRXN3,B4bisGP,0.7989881299863786,0.4357397677888046,0.3153110122796441,0.18204489781810593,False,Control
28,NRXN3,B4bisGP,0.23269118505545824,0.4357397677888046,0.3153110122796441,0.18204489781810593,False,Control
29,NRXN3,B4bisGP,0.2755399883245767,0.4357397677888046,0.3153110122796441,0.18204489781810593,False,Control
30,NRXN3,R6 GP,0.738731040375988,0.7106743573310546,0.060821554368157685,0.035115340786987304,False,Control
31,NRXN3,R6 GP,0.640888698995941,0.7106743573310546,0.060821554368157685,0.035115340786987304,False,Control
32,NRXN3,R6 GP,0.7524033326212347,0.7106743573310546,0.060821554368157685,0.035115340786987304,False,Control
33,NRXN3,V3 GP,0.4426587073814717,0.5377492059847703,0.2190854537689296,0.12648904570902283,False,Control
34,NRXN3,V3 GP,0.38227528412352196,0.5377492059847703,0.2190854537689296,0.12648904570902283,False,Control
35,NRXN3,V3 GP,0.7883136264493169,0.5377492059847703,0.2190854537689296,0.12648904570902283,False,Control
36,NRXN3,V4 GP,,,,,True,Control
37,NRXN3,V4 GP,0.336340206185567,0.2990979381443299,0.052668520557451574,0.037242268041237085,False,Control
38,NRXN3,V4 GP,0.2618556701030928,0.2990979381443299,0.052668520557451574,0.037242268041237085,False,Control
39,NRXN3,R5bis GP,0.3368421052631579,0.4470175438596491,0.09807136673726058,0.05662152998555191,False,Cocaine
40,NRXN3,R5bis GP,0.47943319838056675,0.4470175438596491,0.09807136673726058,0.05662152998555191,False,Cocaine
41,NRXN3,R5bis GP,0.5247773279352227,0.4470175438596491,0.09807136673726058,0.05662152998555191,False,Cocaine
42,NRXN3,R6bisGP,0.05913909908216226,0.06158644258981985,0.003461066380315117,0.0024473435076575976,False,Cocaine
43,NRXN3,R6bisGP,,,,,True,Cocaine
44,NRXN3,R6bisGP,0.06403378609747745,0.06158644258981985,0.003461066380315117,0.0024473435076575976,False,Cocaine
45,NRXN3,R8bisGP,1.0159974621589776,0.8683041783739691,0.2573444237243097,0.14857787231167935,False,Cocaine
46,NRXN3,R8bisGP,0.5711501858062177,0.8683041783739691,0.2573444237243097,0.14857787231167935,False,Cocaine
47,NRXN3,R8bisGP,1.0177648871567118,0.8683041783739691,0.2573444237243097,0.14857787231167935,False,Cocaine
48,NRXN3,V2GP,0.7087954604075316,0.7797265927263348,0.10031176931973199,0.07093113231880316,False,Cocaine
49,NRXN3,V2GP,0.8506577250451379,0.7797265927263348,0.10031176931973199,0.07093113231880316,False,Cocaine
50,NRXN3,V2GP,,,,,True,Cocaine
51,NRXN3,V8GP,3.211513513303013e-08,0.25355758309759496,0.4391745627425073,0.2535575520206228,False,Cocaine
52,NRXN3,V8GP,0.7606726871388405,0.25355758309759496,0.4391745627425073,0.2535575520206228,False,Cocaine
53,NRXN3,V8GP,3.003880917578891e-08,0.25355758309759496,0.4391745627425073,0.2535575520206228,False,Cocaine
