Target Name,DF,T,tail,paired,p-val,effect size,power,Bayes factor
B2M,4.0,0.0,two-sided,FALSE,1.0,0.0,0.05,0.509
NRXN3,6.14,0.078,two-sided,FALSE,0.9400432357843408,0.049,0.05,0.51
