,,NormQuant,NormQuant,NormQuant,NormSEM
,,size,mean,std,mean
Target Name,Sample Name,,,,
B2M,V8NST,3.0,1.0,0.5056547443893356,0.29193990279019433
B2M,V2NST,3.0,1.0,0.37319897581590544,0.21546652914860565
B2M,R5bis NST,3.0,0.9999999999999999,1.0774664210543172,0.6220755282384928
B2M,B6NST,4.0,1.0000000000000002,0.39872781314727274,0.23020561025396874
B2M,R6 NST,3.0,1.0000000000000002,0.14954873167107668,0.08634200048726319
B2M,V3 NST,3.0,1.0,0.152823992013144,0.08823297292742188
B2M,V4 NST,3.0,1.0,0.49492625679649077,0.28574580759046786
B2M,R8bisGP,3.0,1.0,0.15030341209802353,0.08677771543491318
B2M,R6bisGP,3.0,1.0,1.619960043271562,0.9352843670592742
B2M,R5bis GP,3.0,1.0,0.21264023051880512,0.12276789433057624
B2M,V8GP,4.0,1.0000000000000002,1.7320507508279699,0.9999999672406219
B2M,V2GP,4.0,1.0000000000000002,0.43126910367483684,0.24899333309983568
B2M,R6 GP,3.0,1.0,0.36897029993795766,0.21302510199215682
B2M,B4bisGP,3.0,1.0,0.3321346162658867,0.1917580101083027
B2M,V4 GP,3.0,1.0,0.2751855207013035,0.15887843445398492
B2M,V3 GP,3.0,1.0000000000000002,0.3413312817721388,0.1970677074139843
B2M,B4bisNST,3.0,1.0000000000000002,0.3018740010260028,0.17428703575371207
B2M,R6bisSN,3.0,1.0000000000000002,0.18345726071807228,0.10591909886037036
B2M,R8bisNST,3.0,1.0000000000000002,0.4130021148111554,0.2384468821621053
B2M,R5bis SN,3.0,1.0,0.1167009507264386,0.06737732531659459
B2M,R6bisNST,3.0,1.0,0.08866240637351513,0.05118926418674894
B2M,R8bisSN,3.0,1.0,0.3356010215589995,0.1937593401374018
B2M,V8SN,4.0,1.0,0.4566317446164838,0.2636364606748554
B2M,V2SN,4.0,1.0,0.9828829829596551,0.5674677547936593
B2M,R6 SN,3.0,0.9999999999999999,0.5540193501480704,0.31986322094424996
B2M,B4bisSN,3.0,1.0,0.19658342742552573,0.11349749474234655
B2M,V4 SN,3.0,1.0,0.27747772990377584,0.1602018420540713
B2M,V3 SN,3.0,1.0,0.34775292861835283,0.20077524694928672
NLGN1,R5bis NST,3.0,0.15600370145824694,0.030845362522233813,0.017808578355463275
NLGN1,V8NST,3.0,233.27939694876218,403.64970927209765,233.04726830655977
NLGN1,V2NST,3.0,0.2537604110554013,0.09609587125167471,0.05548097713516601
NLGN1,B6NST,3.0,0.18120818199197095,0.055960611906988145,0.03230887434851579
NLGN1,R6 NST,3.0,0.3289778206364513,0.03643324027124874,0.021034741078055776
NLGN1,V4 NST,3.0,0.18894527802294792,0.0763955735107553,0.04410700493133041
NLGN1,V3 NST,3.0,0.284535956497831,0.04664949464652362,0.026933098291730424
NLGN1,R6bisGP,3.0,0.05171985470366664,0.017263781734893124,0.009967249031871489
NLGN1,R5bis GP,3.0,0.49879532586435366,0.10943091608286667,0.0631799688581104
NLGN1,R8bisGP,3.0,0.8683041783739691,0.2573444237243097,0.14857787231167935
NLGN1,V8GP,4.0,0.25355758309759496,0.4391745627425073,0.25355755202062286
NLGN1,V2GP,3.0,0.6456436931079325,0.11081178071538521,0.06397721142540944
NLGN1,B4bisGP,3.0,0.5192301746792394,0.3757265324095898,0.21692581462836133
NLGN1,V3 GP,3.0,0.6435702509617146,0.26219821227987905,0.1513802084408268
NLGN1,V4 GP,3.0,0.437624353362515,0.16387009622289378,0.0946104441664176
NLGN1,R6 GP,3.0,0.5614311431143114,0.04804889108866103,0.02774104020430146
NLGN1,R8bisNST,3.0,0.720981649347778,0.6870092090410438,0.39664495177559855
NLGN1,R6bisNST,3.0,0.21175144074166874,0.0709862501086739,0.04098393060900499
NLGN1,R6bisSN,3.0,1.001639344262295,0.31421754474427577,0.1814135840422109
NLGN1,V4 SN,3.0,1.1045797726707045,0.3757624426558069,0.2169465474186815
NLGN1,R5bis SN,3.0,0.9653462749213011,0.4876373817716804,0.281537573632804
NLGN1,V8SN,3.0,1.4457610943216157,0.47205031929996377,0.2725383789188829
NLGN1,V2SN,4.0,0.4439649969824984,0.06309604313332796,0.03642851748782715
NLGN1,R8bisSN,3.0,0.5238332562030544,0.06768804926655614,0.039079713464966845
NLGN1,B4bisNST,3.0,0.21182724252491694,0.03699487336647003,0.021359000096767593
NLGN1,B4bisSN,3.0,0.7317138022721781,0.2655291672116613,0.1533033361673498
NLGN1,V3 SN,3.0,0.9311964961178579,0.24968581609652343,0.1441561731361592
NLGN1,R6 SN,3.0,0.595307917888563,0.27526662268527,0.15892525870625981
NLGN2,V8NST,4.0,2042854.851818869,4085707.588712584,2042853.7943562923
NLGN2,V2NST,4.0,1.5209464219119049,1.3093877636581364,0.6546938818290683
NLGN2,V3 NST,3.0,0.7269505712714608,0.1696691166813404,0.09795851018913791
NLGN2,V4 NST,3.0,0.8000882612533099,0.13925765198112605,0.08040044285801837
NLGN2,R5bis NST,3.0,0.714987714987715,0.4496920980105286,0.2596298538388263
NLGN2,B6NST,3.0,1.348518447715542,1.3689458059574848,0.7903612295755632
NLGN2,R6 NST,3.0,0.9845708775313405,0.2746383122230205,0.15856250349174533
NLGN2,V3 GP,3.0,0.34365268364169266,0.09672884950711472,0.055846427301335495
NLGN2,V4 GP,3.0,0.26543971348985274,0.07519555335826078,0.043414172973254735
NLGN2,B4bisGP,3.0,0.3171896738290308,0.149208166023082,0.08614537481871677
