Preserve,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Treatment,Remove 0.2,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Treatment,Gilles,Well / Set,Dye,Content,Description,Efficiency,C(t),ng,,,,
26,B2M,V8GP,2.72833111764594E-08,1,1.73205075082797,0.999999967240622,False,Cocaine,26,B2M,V8GP,0.832839710934723,1,0.236400347886321,0.167160289065277,False,Cocaine,,H9,FAM,Sample,V8GP,55.66%,27.72,0.9852,std,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,mean,median,ratio
27,NRXN3,B4bisGP,0.798988129986379,0.435739767788805,0.315311012279644,0.182044897818106,False,Control,27,NRXN3,B4bisGP,,,,,True,Control,B4bisGP,B4,FAM,Sample,B4bisGP,32.11%,26.6,2.053,0.992286920871847,2.053,0.708,
28,NRXN3,B4bisGP,0.232691185055458,0.435739767788805,0.315311012279644,0.182044897818106,False,Control,28,NRXN3,B4bisGP,0.232691185055458,0.254115586690017,0.030298679357322,0.021424401634559,False,Control,B4bisGP,B5,FAM,Sample,B4bisGP,45.30%,28.43,0.5979,,,,
29,NRXN3,B4bisGP,0.275539988324577,0.435739767788805,0.315311012279644,0.182044897818106,False,Control,29,NRXN3,B4bisGP,0.275539988324577,0.254115586690017,0.030298679357322,0.021424401634559,False,Control,B4bisGP,B6,FAM,Sample,B4bisGP,47.44%,28.18,0.708,,,,
30,NRXN3,R6 GP,0.738731040375988,0.710674357331055,0.060821554368158,0.035115340786987,False,Control,30,NRXN3,R6 GP,0.640888698995941,0.710674357331055,0.060821554368158,0.035115340786987,False,Control,R6 GP,C4,FAM,Sample,R6 GP,46.03%,27.07,1.5,0.130766968306221,,,
31,NRXN3,R6 GP,0.640888698995941,0.710674357331055,0.060821554368158,0.035115340786987,False,Control,31,NRXN3,R6 GP,0.752403332621235,0.710674357331055,0.060821554368158,0.035115340786987,False,Control,R6 GP,C5,FAM,Sample,R6 GP,53.51%,26.83,1.761,,,,
32,NRXN3,R6 GP,0.752403332621235,0.710674357331055,0.060821554368158,0.035115340786987,False,Control,32,NRXN3,R6 GP,0.738731040375988,0.710674357331055,0.060821554368158,0.035115340786987,False,Control,R6 GP,C6,FAM,Sample,R6 GP,43.63%,26.86,1.729,,,,
33,NRXN3,V3 GP,0.442658707381472,0.53774920598477,0.21908545376893,0.126489045709023,False,Control,33,NRXN3,V3 GP,0.442658707381472,0.53774920598477,0.21908545376893,0.126489045709023,False,Control,V3 GP,D1,FAM,Sample,V3 GP,49.19%,29.08,0.3856,0.570730526021987,,,
34,NRXN3,V3 GP,0.382275284123522,0.53774920598477,0.21908545376893,0.126489045709023,False,Control,34,NRXN3,V3 GP,0.382275284123522,0.53774920598477,0.21908545376893,0.126489045709023,False,Control,V3 GP,D2,FAM,Sample,V3 GP,53.23%,29.3,0.333,,,,
35,NRXN3,V3 GP,0.788313626449317,0.53774920598477,0.21908545376893,0.126489045709023,False,Control,35,NRXN3,V3 GP,0.788313626449317,0.53774920598477,0.21908545376893,0.126489045709023,False,Control,V3 GP,D3,FAM,Sample,V3 GP,50.26%,28.22,0.6867,,,,
36,NRXN3,V4 GP,,,,,True,Control,36,NRXN3,V4 GP,,,,,True,Control,V4 GP,D10,FAM,Sample,V4 GP,40.68%,27.61,1.039,0.537990086649684,,,
37,NRXN3,V4 GP,0.336340206185567,0.29909793814433,0.052668520557452,0.037242268041237,False,Control,37,NRXN3,V4 GP,0.336340206185567,0.29909793814433,0.052668520557452,0.037242268041237,False,Control,V4 GP,D11,FAM,Sample,V4 GP,53.25%,28.67,0.508,,,,
38,NRXN3,V4 GP,0.261855670103093,0.29909793814433,0.052668520557452,0.037242268041237,False,Control,38,NRXN3,V4 GP,0.261855670103093,0.29909793814433,0.052668520557452,0.037242268041237,False,Control,V4 GP,D12,FAM,Sample,V4 GP,52.69%,28.3,0.6525,,,,
39,NRXN3,R5bis GP,0.336842105263158,0.447017543859649,0.098071366737261,0.056621529985552,False,Cocaine,39,NRXN3,R5bis GP,0.336842105263158,0.447017543859649,0.098071366737261,0.056621529985552,False,Cocaine,R5bis GP,E7,FAM,Sample,R5bis GP,49.20%,28.97,0.416,0.34961884007206,,,
40,NRXN3,R5bis GP,0.479433198380567,0.447017543859649,0.098071366737261,0.056621529985552,False,Cocaine,40,NRXN3,R5bis GP,0.479433198380567,0.447017543859649,0.098071366737261,0.056621529985552,False,Cocaine,R5bis GP,E8,FAM,Sample,R5bis GP,46.64%,28.44,0.5921,,,,
41,NRXN3,R5bis GP,0.524777327935223,0.447017543859649,0.098071366737261,0.056621529985552,False,Cocaine,41,NRXN3,R5bis GP,0.524777327935223,0.447017543859649,0.098071366737261,0.056621529985552,False,Cocaine,R5bis GP,E9,FAM,Sample,R5bis GP,50.45%,28.31,0.6481,,,,
42,NRXN3,R6bisGP,0.059139099082162,0.06158644258982,0.003461066380315,0.002447343507658,False,Cocaine,42,NRXN3,R6bisGP,,,,,True,Cocaine,R6bisGP,F4,FAM,Sample,R6bisGP,41.31%,26.07,2.936,0.559851170699261,,,
43,NRXN3,R6bisGP,,,,,True,Cocaine,43,NRXN3,R6bisGP,0.912226192325618,0.949976697219202,0.053387276006938,0.037750504893584,False,Cocaine,R6bisGP,F5,FAM,Sample,R6bisGP,53.37%,26.98,1.588,,,,
44,NRXN3,R6bisGP,0.064033786097478,0.06158644258982,0.003461066380315,0.002447343507658,False,Cocaine,44,NRXN3,R6bisGP,0.987727202112785,0.949976697219202,0.053387276006938,0.037750504893584,False,Cocaine,R6bisGP,F6,FAM,Sample,R6bisGP,44.54%,25.96,3.179,,,,
45,NRXN3,R8bisGP,1.01599746215898,0.868304178373969,0.25734442372431,0.148577872311679,False,Cocaine,45,NRXN3,R8bisGP,0.571150185806218,0.868304178373969,0.25734442372431,0.148577872311679,False,Cocaine,R8bisGP,G1,FAM,Sample,R8bisGP,54.23%,28.1,0.7486,0.490747728811181,,,
46,NRXN3,R8bisGP,0.571150185806218,0.868304178373969,0.25734442372431,0.148577872311679,False,Cocaine,46,NRXN3,R8bisGP,1.01599746215898,0.868304178373969,0.25734442372431,0.148577872311679,False,Cocaine,R8bisGP,G2,FAM,Sample,R8bisGP,53.24%,28.95,0.4201,,,,
47,NRXN3,R8bisGP,1.01776488715671,0.868304178373969,0.25734442372431,0.148577872311679,False,Cocaine,47,NRXN3,R8bisGP,1.01776488715671,0.868304178373969,0.25734442372431,0.148577872311679,False,Cocaine,R8bisGP,G3,FAM,Sample,R8bisGP,49.84%,28.1,0.7473,,,,
48,NRXN3,V2GP,0.708795460407532,0.779726592726335,0.100311769319732,0.070931132318803,False,Cocaine,48,NRXN3,V2GP,0.850657725045138,0.779726592726335,0.100311769319732,0.070931132318803,False,Cocaine,V2GP,G10,FAM,Sample,V2GP,61.19%,27.2,1.374,0.26006409466386,,consider using 0.3 as this is not removed by Gilles,
49,NRXN3,V2GP,0.850657725045138,0.779726592726335,0.100311769319732,0.070931132318803,False,Cocaine,49,NRXN3,V2GP,,,,,True,Cocaine,V2GP,G11,FAM,Sample,V2GP,61.07%,26.68,1.942,,,,
50,NRXN3,V2GP,,,,,True,Cocaine,50,NRXN3,V2GP,0.708795460407532,0.779726592726335,0.100311769319732,0.070931132318803,False,Cocaine,V2GP,G12,FAM,Sample,V2GP,61.99%,26.93,1.649,,,,
51,NRXN3,V8GP,3.21151351330301E-08,0.253557583097595,0.439174562742507,0.253557552020623,False,Cocaine,51,NRXN3,V8GP,0.980334083639379,0.94864352564862,0.044817216909703,0.031690557990759,False,Cocaine,V8GP,H7,FAM,Sample,V8GP,49.62%,28.05,0.774,14.5435392299582,,,
52,NRXN3,V8GP,0.760672687138841,0.253557583097595,0.439174562742507,0.253557552020623,False,Cocaine,52,NRXN3,V8GP,0.91695296765786,0.94864352564862,0.044817216909703,0.031690557990759,False,Cocaine,V8GP,H8,FAM,Sample,V8GP,110.72%,2.81,1.96E+07,,,,
53,NRXN3,V8GP,3.00388091757889E-08,0.253557583097595,0.439174562742507,0.253557552020623,False,Cocaine,53,NRXN3,V8GP,,,,,True,Cocaine,V8GP,H9,FAM,Sample,V8GP,57.41%,27.95,0.8275,,,,
