Target Name,DF,T,tail,paired,p-val,effect size,power,Bayes factor
B2M,6.52,0.0,two-sided,FALSE,1.0,0.0,0.05,0.509
NRXN3,6.04,2.394,two-sided,FALSE,0.053433616373046104,1.636,0.556,1.933
