,Target Name,Sample Name,NormQuant,NormMean,NormSD,NormSEM,Outliers,Region,T_R
0,B2M,B4bisNST,0.9714515480498592,1.0,0.04037360793264563,0.02854845195014071,False,NST,NST_Control
1,B2M,B4bisNST,1.0285484519501407,1.0,0.04037360793264563,0.02854845195014071,False,NST,NST_Control
2,B2M,B6NST,0.9594343133606252,1.0,0.05736854421238077,0.0405656866393747,False,NST,NST_Control
3,B2M,B6NST,1.0405656866393747,1.0,0.05736854421238077,0.0405656866393747,False,NST,NST_Control
4,B2M,R6 NST,1.063129617192747,1.0,0.08927876082140437,0.06312961719274689,False,NST,NST_Control
5,B2M,R6 NST,0.9368703828072531,1.0,0.08927876082140437,0.06312961719274689,False,NST,NST_Control
6,B2M,V3 NST,0.9711003849208774,1.0,0.15282399201314395,0.08823297292742188,False,NST,NST_Control
7,B2M,V3 NST,0.8636891305676054,1.0,0.15282399201314395,0.08823297292742188,False,NST,NST_Control
8,B2M,V3 NST,1.165210484511517,1.0,0.15282399201314395,0.08823297292742188,False,NST,NST_Control
9,B2M,V4 NST,1.0,1.0,0.0,0.0,False,NST,NST_Control
10,B2M,V4 NST,1.0,1.0,0.0,0.0,False,NST,NST_Control
11,B2M,R5bis NST,1.169592120217199,0.9999999999999999,0.23983947648277143,0.16959212021719916,False,NST,NST_Cocaine
12,B2M,R5bis NST,0.8304078797828007,0.9999999999999999,0.23983947648277143,0.16959212021719916,False,NST,NST_Cocaine
13,B2M,R6bisNST,0.9035329491355549,1.0,0.08866240637351512,0.05118926418674895,False,NST,NST_Cocaine
14,B2M,R6bisNST,1.0779253319969933,1.0,0.08866240637351512,0.05118926418674895,False,NST,NST_Cocaine
15,B2M,R6bisNST,1.0185417188674517,1.0,0.08866240637351512,0.05118926418674895,False,NST,NST_Cocaine
16,B2M,R8bisNST,1.0677671589921807,1.0,0.09583723533023582,0.06776715899218072,False,NST,NST_Cocaine
17,B2M,R8bisNST,0.9322328410078192,1.0,0.09583723533023582,0.06776715899218072,False,NST,NST_Cocaine
18,B2M,V2NST,1.12483778873605,1.0,0.17654729392718888,0.12483778873604982,False,NST,NST_Cocaine
19,B2M,V2NST,0.8751622112639502,1.0,0.17654729392718888,0.12483778873604982,False,NST,NST_Cocaine
20,B2M,V8NST,0.874894336432798,1.0,0.17692612614642272,0.12510566356720204,False,NST,NST_Cocaine
21,B2M,V8NST,1.125105663567202,1.0,0.17692612614642272,0.12510566356720204,False,NST,NST_Cocaine
22,B2M,B4bisGP,1.0110916520723876,1.0,0.015685964789894275,0.011091652072387659,False,GP,GP_Control
23,B2M,B4bisGP,0.9889083479276123,1.0,0.015685964789894275,0.011091652072387659,False,GP,GP_Control
24,B2M,R6 GP,0.9215979491561632,1.0,0.11087724362121894,0.07840205084383678,False,GP,GP_Control
25,B2M,R6 GP,1.0784020508438368,1.0,0.11087724362121894,0.07840205084383678,False,GP,GP_Control
26,B2M,V3 GP,1.015268051888417,1.0,0.021592286051615405,0.015268051888416956,False,GP,GP_Control
27,B2M,V3 GP,0.984731948111583,1.0,0.021592286051615405,0.015268051888416956,False,GP,GP_Control
28,B2M,V4 GP,0.9747422680412371,1.0,0.03571982709086694,0.02525773195876296,False,GP,GP_Control
29,B2M,V4 GP,1.025257731958763,1.0,0.03571982709086694,0.02525773195876296,False,GP,GP_Control
30,B2M,R5bis GP,0.9368421052631578,1.0,0.08931875130777446,0.06315789473684212,False,GP,GP_Cocaine
31,B2M,R5bis GP,1.063157894736842,1.0,0.08931875130777446,0.06315789473684212,False,GP,GP_Cocaine
32,B2M,R6bisGP,1.3897778468230544,1.0,0.5512291172897462,0.3897778468230543,False,GP,GP_Cocaine
33,B2M,R6bisGP,0.6102221531769458,1.0,0.5512291172897462,0.3897778468230543,False,GP,GP_Cocaine
34,B2M,R8bisGP,1.0013142391008794,1.0,0.1503034120980236,0.08677771543491318,False,GP,GP_Cocaine
35,B2M,R8bisGP,1.1496419831414848,1.0,0.1503034120980236,0.08677771543491318,False,GP,GP_Cocaine
36,B2M,R8bisGP,0.8490437777576363,1.0,0.1503034120980236,0.08677771543491318,False,GP,GP_Cocaine
37,B2M,V2GP,0.8836729429971627,1.0,0.16451130168436057,0.11632705700283724,False,GP,GP_Cocaine
38,B2M,V2GP,1.1163270570028372,1.0,0.16451130168436057,0.11632705700283724,False,GP,GP_Cocaine
39,B2M,V8GP,0.8328397109347233,1.0,0.2364003478863212,0.16716028906527663,False,GP,GP_Cocaine
40,B2M,V8GP,1.1671602890652766,1.0,0.2364003478863212,0.16716028906527663,False,GP,GP_Cocaine
41,B2M,B4bisSN,0.9977206121784434,1.0,0.0032235411711535175,0.002279387821556677,False,SN,SN_Control
42,B2M,B4bisSN,1.0022793878215568,1.0,0.0032235411711535175,0.002279387821556677,False,SN,SN_Control
43,B2M,R6 SN,1.0242483026188167,1.0,0.03429227842805764,0.024248302618816716,False,SN,SN_Control
44,B2M,R6 SN,0.9757516973811833,1.0,0.03429227842805764,0.024248302618816716,False,SN,SN_Control
45,B2M,V3 SN,0.8889218228973694,1.0,0.15708826454222088,0.11107817710263067,False,SN,SN_Control
