,Sample Name,Target Name,NormQuant,NormMean,NormSD,NormSEM,Outliers
24,B4bisNST,B2M,1.3475083056478407,1.0000000000000002,0.30187400102600276,0.17428703575371207,False
26,B4bisNST,B2M,0.8026578073089702,1.0000000000000002,0.30187400102600276,0.17428703575371207,False
28,B4bisNST,B2M,0.8498338870431894,1.0000000000000002,0.30187400102600276,0.17428703575371207,False
30,B4bisGP,B2M,0.6167877569948987,1.0,0.33213461626588664,0.1917580101083027,False
32,B4bisGP,B2M,1.2048230020095843,1.0,0.33213461626588664,0.1917580101083027,False
35,B4bisGP,B2M,1.178389240995517,1.0,0.33213461626588664,0.1917580101083027,False
37,B4bisSN,B2M,0.7730239303843363,0.9999999999999997,0.19658342742552568,0.11349749474234652,False
39,B4bisSN,B2M,1.1109499637418416,0.9999999999999997,0.19658342742552568,0.11349749474234652,False
41,B4bisSN,B2M,1.1160261058738215,0.9999999999999997,0.19658342742552568,0.11349749474234652,False
43,B6NST,B2M,0.7392467979353853,1.0,0.39872781314727274,0.23020561025396874,False
45,B6NST,B2M,0.8017587459376793,1.0,0.39872781314727274,0.23020561025396874,False
46,B6NST,B2M,,1.0,0.39872781314727274,0.23020561025396874,False
47,B6NST,B2M,1.4589944561269357,1.0,0.39872781314727274,0.23020561025396874,False
48,R6 NST,B2M,1.1448891031822568,1.0000000000000002,0.1495487316710766,0.08634200048726319,False
50,R6 NST,B2M,1.008919961427194,1.0000000000000002,0.1495487316710766,0.08634200048726319,False
52,R6 NST,B2M,0.8461909353905497,1.0000000000000002,0.1495487316710766,0.08634200048726319,False
54,R6 GP,B2M,0.728060306030603,1.0,0.36897029993795766,0.21302510199215682,False
56,R6 GP,B2M,1.420004500450045,1.0,0.36897029993795766,0.21302510199215682,False
58,R6 GP,B2M,0.8519351935193519,1.0,0.36897029993795766,0.21302510199215682,False
60,R6 SN,B2M,0.6967741935483871,0.9999999999999999,0.5540193501480704,0.31986322094424996,False
62,R6 SN,B2M,1.6394428152492666,0.9999999999999999,0.5540193501480704,0.31986322094424996,False
64,R6 SN,B2M,0.663782991202346,0.9999999999999999,0.5540193501480704,0.31986322094424996,False
66,V3 NST,B2M,1.1652104845115172,1.0,0.152823992013144,0.08823297292742191,False
68,V3 NST,B2M,0.8636891305676055,1.0,0.152823992013144,0.08823297292742191,False
70,V3 NST,B2M,0.9711003849208775,1.0,0.152823992013144,0.08823297292742191,False
72,V3 GP,B2M,1.1785125480857301,1.0000000000000002,0.3413312817721388,0.19706770741398433,False
74,V3 GP,B2M,0.6064297490382855,1.0000000000000002,0.3413312817721388,0.19706770741398433,False
76,V3 GP,B2M,1.2150577028759848,1.0000000000000002,0.3413312817721388,0.19706770741398433,False
78,V3 SN,B2M,1.3880151304001593,1.0,0.34775292861835283,0.20077524694928672,False
80,V3 SN,B2M,0.8955206052160065,1.0,0.34775292861835283,0.20077524694928672,False
82,V3 SN,B2M,0.7164642643838344,1.0,0.34775292861835283,0.20077524694928672,False
84,V4 NST,B2M,0.7142541924095323,1.0,0.4949262567964908,0.28574580759046786,False
86,V4 NST,B2M,0.7142541924095323,1.0,0.4949262567964908,0.28574580759046786,False
88,V4 NST,B2M,1.5714916151809357,1.0,0.4949262567964908,0.28574580759046786,False
90,V4 GP,B2M,0.6840429765220851,1.0,0.2751855207013035,0.15887843445398492,False
92,V4 GP,B2M,1.1872264226024671,1.0,0.2751855207013035,0.15887843445398492,False
94,V4 GP,B2M,1.1287306008754476,1.0,0.2751855207013035,0.15887843445398492,False
96,V4 SN,B2M,1.3092176221687548,1.0,0.2774777299037759,0.1602018420540713,False
98,V4 SN,B2M,0.7727121878370531,1.0,0.2774777299037759,0.1602018420540713,False
100,V4 SN,B2M,0.9180701899941923,1.0,0.2774777299037759,0.1602018420540713,False
102,R5bis NST,B2M,0.44331344331344336,1.0,1.0774664210543172,0.6220755282384928,False
104,R5bis NST,B2M,0.3147515874788602,1.0,1.0774664210543172,0.6220755282384928,False
106,R5bis NST,B2M,2.2419349692076964,1.0,1.0774664210543172,0.6220755282384928,False
108,R5bis GP,B2M,0.7683411637152151,1.0,0.21264023051880515,0.12276789433057624,False
110,R5bis GP,B2M,1.0453559812070834,1.0,0.21264023051880515,0.12276789433057624,False
112,R5bis GP,B2M,1.1863028550777017,1.0,0.21264023051880515,0.12276789433057624,False
114,R5bis SN,B2M,0.9160545645330533,1.0,0.11670095072643862,0.06737732531659459,False
116,R5bis SN,B2M,1.1332633788037776,1.0,0.11670095072643862,0.06737732531659459,False
118,R5bis SN,B2M,0.9506820566631689,1.0,0.11670095072643862,0.06737732531659459,False
120,R6bisNST,B2M,1.0185417188674517,1.0,0.08866240637351512,0.05118926418674895,False
122,R6bisNST,B2M,0.9035329491355549,1.0,0.08866240637351512,0.05118926418674895,False
124,R6bisNST,B2M,1.0779253319969933,1.0,0.08866240637351512,0.05118926418674895,False
126,R6bisGP,B2M,0.09009849802265386,1.0,1.619960043271562,0.9352843670592742,False
128,R6bisGP,B2M,2.8703411509564445,1.0,1.619960043271562,0.9352843670592742,False
130,R6bisGP,B2M,0.03956035102090145,1.0,1.619960043271562,0.9352843670592742,False
132,R6bisSN,B2M,1.2118340163934427,1.0000000000000002,0.1834572607180722,0.10591909886037035,False
134,R6bisSN,B2M,0.8929303278688525,1.0000000000000002,0.1834572607180722,0.10591909886037035,False
136,R6bisSN,B2M,0.895235655737705,1.0000000000000002,0.1834572607180722,0.10591909886037035,False
138,R8bisNST,B2M,0.8151669246075615,1.0000000000000002,0.4130021148111554,0.2384468821621053,False
