1,A1,FALSE,AiW002-2-D0,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.716,1.397,25.934,25.888,0.179,,5.719,0.353,0.204,0.000,TRUE,0.478,TRUE,3,20,Amp,,0.968,N,N,N,N,N,N,N,N
2,A2,FALSE,AiW002-2-D0,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.716,1.397,26.040,25.888,0.179,,5.719,0.353,0.204,0.000,TRUE,0.478,TRUE,3,20,Amp,,0.975,N,N,N,N,N,N,N,N
3,A3,FALSE,AiW002-2-D0,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.716,1.397,25.690,25.888,0.179,,5.719,0.353,0.204,0.000,TRUE,0.478,TRUE,3,16,Amp,,0.949,N,N,N,N,N,N,N,N
4,A4,FALSE,AiW002-2-D0,SRY,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.749,1.334,28.146,28.135,0.022,,7.966,0.305,0.176,0.000,TRUE,0.337,TRUE,3,22,Amp,,0.938,N,N,N,N,N,N,N,N
5,A5,FALSE,AiW002-2-D0,SRY,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.749,1.334,28.109,28.135,0.022,,7.966,0.305,0.176,0.000,TRUE,0.337,TRUE,3,23,Amp,,0.947,N,N,N,N,N,N,N,N
6,A6,FALSE,AiW002-2-D0,SRY,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.749,1.334,28.150,28.135,0.022,,7.966,0.305,0.176,0.000,TRUE,0.337,TRUE,3,22,Amp,,0.950,N,N,N,N,N,N,N,N
7,A7,FALSE,AiW002-2-D0,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.748,1.337,21.295,21.337,0.041,,1.168,0.307,0.177,0.000,TRUE,0.277,TRUE,3,16,Amp,,0.909,N,N,N,N,N,N,N,N
8,A8,FALSE,AiW002-2-D0,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.748,1.337,21.341,21.337,0.041,,1.168,0.307,0.177,0.000,TRUE,0.277,TRUE,3,15,Amp,,0.929,N,N,N,N,N,N,N,N
9,A9,FALSE,AiW002-2-D0,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.748,1.337,21.376,21.337,0.041,,1.168,0.307,0.177,0.000,TRUE,0.277,TRUE,3,16,Amp,,0.914,N,N,N,N,N,N,N,N
10,A10,FALSE,AiW002-2-D0,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,1.000,0.749,1.335,26.065,26.095,0.027,,5.926,0.305,0.176,0.000,TRUE,0.283,TRUE,3,20,Amp,,0.950,N,N,N,N,N,N,N,N
