158,G14,FALSE,KYOU-D7,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.964,0.799,1.164,26.046,25.971,0.073,,6.635,0.198,0.115,0.052,TRUE,0.300,TRUE,3,21,Amp,,0.947,N,N,N,N,N,N,N,N
159,G15,FALSE,KYOU-D7,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.964,0.799,1.164,25.900,25.971,0.073,,6.635,0.198,0.115,0.052,TRUE,0.300,TRUE,3,20,Amp,,0.965,N,N,N,N,N,N,Y,N
160,G16,FALSE,KYOU-D7,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.080,0.067,0.097,27.905,27.944,0.064,,8.608,0.195,0.113,3.638,TRUE,0.311,TRUE,3,22,Amp,,0.927,N,N,N,N,N,N,N,N
161,G17,FALSE,KYOU-D7,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.080,0.067,0.097,27.908,27.944,0.064,,8.608,0.195,0.113,3.638,TRUE,0.311,TRUE,3,22,Amp,,0.947,N,N,N,N,N,N,N,N
162,G18,FALSE,KYOU-D7,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.080,0.067,0.097,28.018,27.944,0.064,,8.608,0.195,0.113,3.638,TRUE,0.311,TRUE,3,22,Amp,,0.950,N,N,N,N,N,N,N,N
163,G19,FALSE,KYOU-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,17.694,17.609,0.097,,,,,,TRUE,0.101,TRUE,3,13,Amp,,0.825,N,N,N,N,N,N,Y,N
164,G20,FALSE,KYOU-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,17.504,17.609,0.097,,,,,,TRUE,0.101,TRUE,3,13,Amp,,0.780,Y,N,N,N,N,Y,Y,N
165,G21,FALSE,KYOU-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,17.629,17.609,0.097,,,,,,TRUE,0.101,TRUE,3,14,Amp,,0.727,Y,N,N,N,N,N,N,N
166,G22,FALSE,KYOU-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.923,21.063,0.243,,,,,,TRUE,0.096,TRUE,3,17,Amp,,0.797,Y,N,N,N,N,N,N,N
167,G23,FALSE,KYOU-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.343,21.063,0.243,,,,,,TRUE,0.096,TRUE,3,18,Amp,,0.878,N,N,N,N,N,N,Y,Y
168,G24,FALSE,KYOU-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.922,21.063,0.243,,,,,,TRUE,0.096,TRUE,3,17,Amp,,0.827,N,N,N,N,N,Y,N,N
193,I1,FALSE,FX8-1-D0,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.478,TRUE,3,7,No Amp,,0.000,Y,N,N,N,N,N,N,N
194,I2,FALSE,FX8-1-D0,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.478,TRUE,3,29,No Amp,,0.000,Y,N,N,N,N,N,N,N
195,I3,FALSE,FX8-1-D0,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.478,TRUE,3,19,No Amp,,0.000,Y,N,N,N,N,N,N,N
196,I4,FALSE,FX8-1-D0,SRY,UNKNOWN,FAM,NFQ-MGB,,,,0.139,0.104,0.185,29.755,29.967,0.196,,10.815,0.302,0.174,2.849,TRUE,0.337,TRUE,3,23,Amp,,0.940,N,N,N,N,N,N,N,N
197,I5,FALSE,FX8-1-D0,SRY,UNKNOWN,FAM,NFQ-MGB,,,,0.139,0.104,0.185,30.005,29.967,0.196,,10.815,0.302,0.174,2.849,TRUE,0.337,TRUE,3,23,Amp,,0.946,N,N,N,N,N,N,N,N
198,I6,FALSE,FX8-1-D0,SRY,UNKNOWN,FAM,NFQ-MGB,,,,0.139,0.104,0.185,30.140,29.967,0.196,,10.815,0.302,0.174,2.849,TRUE,0.337,TRUE,3,24,Amp,,0.949,N,N,N,N,N,N,N,N
199,I7,FALSE,FX8-1-D0,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.563,0.416,0.760,21.401,21.150,0.220,,1.998,0.318,0.184,0.830,TRUE,0.277,TRUE,3,14,Amp,,0.958,N,N,N,N,N,N,Y,N
200,I8,FALSE,FX8-1-D0,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.563,0.416,0.760,21.059,21.150,0.220,,1.998,0.318,0.184,0.830,TRUE,0.277,TRUE,3,15,Amp,,0.934,N,N,N,N,N,N,N,N
201,I9,FALSE,FX8-1-D0,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.563,0.416,0.760,20.990,21.150,0.220,,1.998,0.318,0.184,0.830,TRUE,0.277,TRUE,3,15,Amp,,0.911,N,N,N,N,N,N,N,N
202,I10,FALSE,FX8-1-D0,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,0.495,0.397,0.617,26.056,26.092,0.037,,6.940,0.233,0.134,1.015,TRUE,0.283,TRUE,3,21,Amp,,0.945,N,N,N,N,N,N,N,N
203,I11,FALSE,FX8-1-D0,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,0.495,0.397,0.617,26.092,26.092,0.037,,6.940,0.233,0.134,1.015,TRUE,0.283,TRUE,3,21,Amp,,0.940,N,N,N,N,N,N,N,N
204,I12,FALSE,FX8-1-D0,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,0.495,0.397,0.617,26.129,26.092,0.037,,6.940,0.233,0.134,1.015,TRUE,0.283,TRUE,3,21,Amp,,0.949,N,N,N,N,N,N,N,N
205,I13,FALSE,FX8-1-D0,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.284,0.226,0.358,27.544,27.549,0.077,,8.397,0.242,0.140,1.815,TRUE,0.300,TRUE,3,22,Amp,,0.939,N,N,N,N,N,N,N,N
206,I14,FALSE,FX8-1-D0,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.284,0.226,0.358,27.475,27.549,0.077,,8.397,0.242,0.140,1.815,TRUE,0.300,TRUE,3,23,Amp,,0.942,N,N,N,N,N,N,N,N
207,I15,FALSE,FX8-1-D0,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.284,0.226,0.358,27.629,27.549,0.077,,8.397,0.242,0.140,1.815,TRUE,0.300,TRUE,3,21,Amp,,0.936,N,N,N,N,N,N,N,N
208,I16,FALSE,FX8-1-D0,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.161,0.128,0.204,26.723,26.753,0.090,,7.601,0.247,0.142,2.631,TRUE,0.311,TRUE,3,21,Amp,,0.951,N,N,N,N,N,N,N,N
209,I17,FALSE,FX8-1-D0,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.161,0.128,0.204,26.682,26.753,0.090,,7.601,0.247,0.142,2.631,TRUE,0.311,TRUE,3,21,Amp,,0.962,N,N,N,N,N,N,N,N
210,I18,FALSE,FX8-1-D0,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.161,0.128,0.204,26.854,26.753,0.090,,7.601,0.247,0.142,2.631,TRUE,0.311,TRUE,3,21,Amp,,0.943,N,N,N,N,N,N,N,N
211,I19,FALSE,FX8-1-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,17.294,17.570,0.284,,,,,,TRUE,0.101,TRUE,3,13,Amp,,0.762,Y,N,N,N,N,N,N,N
212,I20,FALSE,FX8-1-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,17.557,17.570,0.284,,,,,,TRUE,0.101,TRUE,3,13,Amp,,0.812,N,N,N,N,N,N,Y,N
213,I21,FALSE,FX8-1-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,17.860,17.570,0.284,,,,,,TRUE,0.101,TRUE,3,14,Amp,,0.828,N,N,N,N,N,N,Y,N
214,I22,FALSE,FX8-1-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.552,20.733,0.159,,,,,,TRUE,0.096,TRUE,3,16,Amp,,0.802,N,N,N,N,N,N,Y,N
215,I23,FALSE,FX8-1-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.804,20.733,0.159,,,,,,TRUE,0.096,TRUE,3,15,Amp,,0.818,N,N,N,N,N,Y,Y,N
216,I24,FALSE,FX8-1-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.845,20.733,0.159,,,,,,TRUE,0.096,TRUE,3,16,Amp,,0.808,N,N,N,N,N,N,N,N
241,K1,FALSE,FX8-1-D7,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.478,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,N
242,K2,FALSE,FX8-1-D7,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.478,TRUE,3,4,No Amp,,0.000,Y,N,N,N,N,N,N,N
243,K3,FALSE,FX8-1-D7,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.478,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,N
244,K4,FALSE,FX8-1-D7,SRY,UNKNOWN,FAM,NFQ-MGB,,,,0.006,0.003,0.012,35.393,34.791,0.645,,15.315,0.691,0.399,7.349,TRUE,0.337,TRUE,3,29,Amp,,0.888,N,N,N,N,Y,N,N,N
245,K5,FALSE,FX8-1-D7,SRY,UNKNOWN,FAM,NFQ-MGB,,,,0.006,0.003,0.012,34.110,34.791,0.645,,15.315,0.691,0.399,7.349,TRUE,0.337,TRUE,3,26,Amp,,0.953,N,N,N,N,Y,N,Y,N
246,K6,FALSE,FX8-1-D7,SRY,UNKNOWN,FAM,NFQ-MGB,,,,0.006,0.003,0.012,34.871,34.791,0.645,,15.315,0.691,0.399,7.349,TRUE,0.337,TRUE,3,26,Amp,,0.944,N,N,N,N,Y,N,N,N
247,K7,FALSE,FX8-1-D7,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.596,0.470,0.755,21.426,21.392,0.045,,1.916,0.250,0.144,0.748,TRUE,0.277,TRUE,3,16,Amp,,0.916,N,N,N,N,N,N,N,N
248,K8,FALSE,FX8-1-D7,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.596,0.470,0.755,21.408,21.392,0.045,,1.916,0.250,0.144,0.748,TRUE,0.277,TRUE,3,15,Amp,,0.914,N,N,N,N,N,N,N,N
249,K9,FALSE,FX8-1-D7,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.596,0.470,0.755,21.341,21.392,0.045,,1.916,0.250,0.144,0.748,TRUE,0.277,TRUE,3,16,Amp,,0.917,N,N,N,N,N,N,N,N
250,K10,FALSE,FX8-1-D7,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,0.921,0.726,1.168,25.522,25.521,0.051,,6.045,0.251,0.145,0.119,TRUE,0.283,TRUE,3,20,Amp,,0.952,N,N,N,N,N,N,N,N
251,K11,FALSE,FX8-1-D7,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,0.921,0.726,1.168,25.470,25.521,0.051,,6.045,0.251,0.145,0.119,TRUE,0.283,TRUE,3,20,Amp,,0.955,N,N,N,N,N,N,N,N
252,K12,FALSE,FX8-1-D7,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,0.921,0.726,1.168,25.571,25.521,0.051,,6.045,0.251,0.145,0.119,TRUE,0.283,TRUE,3,20,Amp,,0.941,N,N,N,N,N,N,N,N
253,K13,FALSE,FX8-1-D7,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.809,0.633,1.034,26.374,26.365,0.083,,6.889,0.260,0.150,0.306,TRUE,0.300,TRUE,3,22,Amp,,0.947,N,N,N,N,N,N,N,N
254,K14,FALSE,FX8-1-D7,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.809,0.633,1.034,26.443,26.365,0.083,,6.889,0.260,0.150,0.306,TRUE,0.300,TRUE,3,21,Amp,,0.936,N,N,N,N,N,N,N,N
255,K15,FALSE,FX8-1-D7,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.809,0.633,1.034,26.277,26.365,0.083,,6.889,0.260,0.150,0.306,TRUE,0.300,TRUE,3,21,Amp,,0.941,N,N,N,N,N,N,N,N
256,K16,FALSE,FX8-1-D7,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.169,0.133,0.214,27.026,27.014,0.046,,7.538,0.250,0.145,2.569,TRUE,0.311,TRUE,3,21,Amp,,0.954,N,N,N,N,N,N,N,N
257,K17,FALSE,FX8-1-D7,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.169,0.133,0.214,26.964,27.014,0.046,,7.538,0.250,0.145,2.569,TRUE,0.311,TRUE,3,22,Amp,,0.981,N,N,N,N,N,Y,Y,N
258,K18,FALSE,FX8-1-D7,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.169,0.133,0.214,27.054,27.014,0.046,,7.538,0.250,0.145,2.569,TRUE,0.311,TRUE,3,22,Amp,,0.973,N,N,N,N,N,Y,N,N
259,K19,FALSE,FX8-1-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.108,18.160,0.150,,,,,,TRUE,0.101,TRUE,3,13,Amp,,0.794,Y,N,N,N,N,N,Y,N
260,K20,FALSE,FX8-1-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.329,18.160,0.150,,,,,,TRUE,0.101,TRUE,3,13,Amp,,0.821,N,N,N,N,N,N,Y,N
261,K21,FALSE,FX8-1-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.042,18.160,0.150,,,,,,TRUE,0.101,TRUE,3,13,Amp,,0.777,Y,N,N,N,N,Y,N,N
262,K22,FALSE,FX8-1-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.806,20.792,0.314,,,,,,TRUE,0.096,TRUE,3,16,Amp,,0.797,Y,N,N,N,N,N,N,N
263,K23,FALSE,FX8-1-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,20.472,20.792,0.314,,,,,,TRUE,0.096,TRUE,3,14,Amp,,0.728,Y,N,N,N,N,N,Y,N
264,K24,FALSE,FX8-1-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.100,20.792,0.314,,,,,,TRUE,0.096,TRUE,3,16,Amp,,0.791,Y,N,N,N,N,Y,N,N
289,M1,FALSE,FX11-7-D0,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.478,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,N
290,M2,FALSE,FX11-7-D0,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.478,TRUE,3,39,No Amp,,0.000,Y,Y,N,N,N,N,N,N
291,M3,FALSE,FX11-7-D0,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.478,TRUE,3,10,No Amp,,0.000,Y,N,N,N,N,N,N,N
292,M4,FALSE,FX11-7-D0,SRY,UNKNOWN,FAM,NFQ-MGB,,,,0.190,0.115,0.313,30.381,30.478,0.361,,10.366,0.530,0.306,2.400,TRUE,0.337,TRUE,3,24,Amp,,0.967,N,N,N,N,N,N,Y,N
293,M5,FALSE,FX11-7-D0,SRY,UNKNOWN,FAM,NFQ-MGB,,,,0.190,0.115,0.313,30.175,30.478,0.361,,10.366,0.530,0.306,2.400,TRUE,0.337,TRUE,3,24,Amp,,0.968,N,N,N,N,N,N,N,N
294,M6,FALSE,FX11-7-D0,SRY,UNKNOWN,FAM,NFQ-MGB,,,,0.190,0.115,0.313,30.878,30.478,0.361,,10.366,0.530,0.306,2.400,TRUE,0.337,TRUE,3,25,Amp,,0.941,N,N,N,N,N,N,N,N
295,M7,FALSE,FX11-7-D0,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.447,0.291,0.686,22.203,22.442,0.233,,2.330,0.452,0.261,1.162,TRUE,0.277,TRUE,3,17,Amp,,0.938,N,N,N,N,N,N,N,N
296,M8,FALSE,FX11-7-D0,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.447,0.291,0.686,22.668,22.442,0.233,,2.330,0.452,0.261,1.162,TRUE,0.277,TRUE,3,18,Amp,,0.972,N,N,N,N,N,N,Y,N
297,M9,FALSE,FX11-7-D0,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.447,0.291,0.686,22.455,22.442,0.233,,2.330,0.452,0.261,1.162,TRUE,0.277,TRUE,3,17,Amp,,0.954,N,N,N,N,N,N,N,N
298,M10,FALSE,FX11-7-D0,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,1.261,0.741,2.148,25.402,25.703,0.408,,5.591,0.563,0.325,-0.335,TRUE,0.283,TRUE,3,17,Amp,,0.951,N,N,N,N,N,Y,N,N
299,M11,FALSE,FX11-7-D0,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,1.261,0.741,2.148,26.167,25.703,0.408,,5.591,0.563,0.325,-0.335,TRUE,0.283,TRUE,3,20,Amp,,0.943,N,N,N,N,N,N,N,N
300,M12,FALSE,FX11-7-D0,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,1.261,0.741,2.148,25.541,25.703,0.408,,5.591,0.563,0.325,-0.335,TRUE,0.283,TRUE,3,18,Amp,,0.963,N,N,N,N,N,N,Y,N
301,M13,FALSE,FX11-7-D0,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.448,0.309,0.650,27.786,27.853,0.058,,7.741,0.392,0.227,1.158,TRUE,0.300,TRUE,3,22,Amp,,0.932,N,N,N,N,N,N,N,N
302,M14,FALSE,FX11-7-D0,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.448,0.309,0.650,27.886,27.853,0.058,,7.741,0.392,0.227,1.158,TRUE,0.300,TRUE,3,23,Amp,,0.934,N,N,N,N,N,N,N,N
303,M15,FALSE,FX11-7-D0,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.448,0.309,0.650,27.887,27.853,0.058,,7.741,0.392,0.227,1.158,TRUE,0.300,TRUE,3,22,Amp,,0.951,N,N,N,N,N,N,N,N
304,M16,FALSE,FX11-7-D0,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.227,0.154,0.334,27.241,27.224,0.131,,7.112,0.409,0.236,2.142,TRUE,0.311,TRUE,3,23,Amp,,0.952,N,N,N,N,N,N,N,N
305,M17,FALSE,FX11-7-D0,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.227,0.154,0.334,27.086,27.224,0.131,,7.112,0.409,0.236,2.142,TRUE,0.311,TRUE,3,19,Amp,,0.982,N,N,N,N,N,Y,Y,N
306,M18,FALSE,FX11-7-D0,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.227,0.154,0.334,27.345,27.224,0.131,,7.112,0.409,0.236,2.142,TRUE,0.311,TRUE,3,21,Amp,,0.946,N,N,N,N,N,N,N,N
307,M19,FALSE,FX11-7-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.079,18.693,0.540,,,,,,TRUE,0.101,TRUE,3,13,Amp,,0.707,Y,N,N,N,Y,N,N,N
308,M20,FALSE,FX11-7-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,18.904,18.693,0.540,,,,,,TRUE,0.101,TRUE,3,13,Amp,,0.822,N,N,N,N,Y,N,Y,N
309,M21,FALSE,FX11-7-D0,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,19.096,18.693,0.540,,,,,,TRUE,0.101,TRUE,3,15,Amp,,0.870,N,N,N,N,Y,Y,Y,N
310,M22,FALSE,FX11-7-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.425,21.532,0.095,,,,,,TRUE,0.096,TRUE,3,17,Amp,,0.800,Y,N,N,N,N,N,N,N
311,M23,FALSE,FX11-7-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.562,21.532,0.095,,,,,,TRUE,0.096,TRUE,3,17,Amp,,0.804,N,N,N,N,N,Y,N,N
312,M24,FALSE,FX11-7-D0,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,21.609,21.532,0.095,,,,,,TRUE,0.096,TRUE,3,17,Amp,,0.804,N,N,N,N,N,N,N,N
337,O1,FALSE,FX11-7-D7,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.478,TRUE,3,25,No Amp,,0.000,Y,N,N,N,N,N,N,N
338,O2,FALSE,FX11-7-D7,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.478,TRUE,3,5,No Amp,,0.000,Y,N,N,N,N,N,N,N
339,O3,FALSE,FX11-7-D7,FMR1,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,,,,,,,,TRUE,0.478,TRUE,3,20,No Amp,,0.000,Y,N,N,N,N,N,N,N
340,O4,FALSE,FX11-7-D7,SRY,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,36.948,,,,,,,TRUE,0.337,TRUE,3,11,No Amp,,0.000,Y,N,N,N,N,N,N,N
341,O5,FALSE,FX11-7-D7,SRY,UNKNOWN,FAM,NFQ-MGB,,,,0.275,,,36.948,36.948,,,9.827,,,1.861,TRUE,0.337,TRUE,3,32,Amp,,0.851,N,N,N,N,N,N,N,N
342,O6,FALSE,FX11-7-D7,SRY,UNKNOWN,FAM,NFQ-MGB,,,,,,,Undetermined,36.948,,,,,,,TRUE,0.337,TRUE,3,22,No Amp,,0.000,Y,N,N,N,N,N,N,N
343,O7,FALSE,FX11-7-D7,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.505,0.368,0.693,29.361,29.275,0.309,,2.153,0.334,0.193,0.985,TRUE,0.277,TRUE,3,23,Amp,,0.924,N,N,N,N,N,N,N,N
344,O8,FALSE,FX11-7-D7,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.505,0.368,0.693,28.932,29.275,0.309,,2.153,0.334,0.193,0.985,TRUE,0.277,TRUE,3,24,Amp,,0.953,N,N,N,N,N,N,Y,N
345,O9,FALSE,FX11-7-D7,CFL1,UNKNOWN,FAM,NFQ-MGB,,,,0.505,0.368,0.693,29.532,29.275,0.309,,2.153,0.334,0.193,0.985,TRUE,0.277,TRUE,3,24,Amp,,0.931,N,N,N,N,N,N,N,N
346,O10,FALSE,FX11-7-D7,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,0.534,0.389,0.732,34.244,33.953,0.309,,6.832,0.334,0.193,0.906,TRUE,0.283,TRUE,3,28,Amp,,0.896,N,N,N,N,N,N,N,N
347,O11,FALSE,FX11-7-D7,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,0.534,0.389,0.732,33.629,33.953,0.309,,6.832,0.334,0.193,0.906,TRUE,0.283,TRUE,3,28,Amp,,0.892,N,N,N,N,N,N,N,N
348,O12,FALSE,FX11-7-D7,LIMK1,UNKNOWN,FAM,NFQ-MGB,,,,0.534,0.389,0.732,33.986,33.953,0.309,,6.832,0.334,0.193,0.906,TRUE,0.283,TRUE,3,27,Amp,,0.886,N,N,N,N,N,N,N,N
349,O13,FALSE,FX11-7-D7,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.547,0.299,1.003,34.251,34.573,0.627,,7.452,0.640,0.369,0.869,TRUE,0.300,TRUE,3,29,Amp,,0.874,N,N,N,N,Y,N,N,N
350,O14,FALSE,FX11-7-D7,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.547,0.299,1.003,34.173,34.573,0.627,,7.452,0.640,0.369,0.869,TRUE,0.300,TRUE,3,28,Amp,,0.866,N,N,N,N,Y,N,N,N
351,O15,FALSE,FX11-7-D7,LIMK2,UNKNOWN,FAM,NFQ-MGB,,,,0.547,0.299,1.003,35.296,34.573,0.627,,7.452,0.640,0.369,0.869,TRUE,0.300,TRUE,3,29,Amp,,0.852,N,N,N,N,Y,N,N,N
352,O16,FALSE,FX11-7-D7,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.022,0.014,0.034,38.118,37.611,0.459,,10.490,0.476,0.275,5.520,TRUE,0.311,TRUE,3,33,Inconclusive,,0.678,Y,N,N,N,N,N,N,N
353,O17,FALSE,FX11-7-D7,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.022,0.014,0.034,37.225,37.611,0.459,,10.490,0.476,0.275,5.520,TRUE,0.311,TRUE,3,32,Inconclusive,,0.882,N,N,N,N,N,Y,N,N
354,O18,FALSE,FX11-7-D7,ASCL1,UNKNOWN,FAM,NFQ-MGB,,,,0.022,0.014,0.034,37.490,37.611,0.459,,10.490,0.476,0.275,5.520,TRUE,0.311,TRUE,3,32,Inconclusive,,0.866,N,N,N,N,N,Y,N,N
355,O19,FALSE,FX11-7-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.207,25.122,0.074,,,,,,TRUE,0.101,TRUE,3,21,Amp,,0.955,N,N,N,N,N,N,N,N
356,O20,FALSE,FX11-7-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.080,25.122,0.074,,,,,,TRUE,0.101,TRUE,3,21,Amp,,0.955,N,N,N,N,N,Y,Y,N
357,O21,FALSE,FX11-7-D7,ACTB,UNKNOWN,VIC,NFQ-MGB,,,,,,,25.077,25.122,0.074,,,,,,TRUE,0.101,TRUE,3,21,Amp,,0.980,N,N,N,N,N,N,Y,N
358,O22,FALSE,FX11-7-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,28.986,29.121,0.163,,,,,,TRUE,0.096,TRUE,3,24,Amp,,0.970,N,N,N,N,N,N,N,N
359,O23,FALSE,FX11-7-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,29.076,29.121,0.163,,,,,,TRUE,0.096,TRUE,3,24,Amp,,0.958,N,N,N,N,N,Y,N,N
360,O24,FALSE,FX11-7-D7,GAPDH,UNKNOWN,VIC,NFQ-MGB,,,,,,,29.302,29.121,0.163,,,,,,TRUE,0.096,TRUE,3,25,Amp,,0.934,N,N,N,N,N,N,N,N
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Analysis Type,Singleplex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Endogenous Control,"ACTB, GAPDH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RQ Min/Max Confidence Level,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reference Sample,AiW002-2-D0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
